concept,chapter,chapter_title,pdf_page,book_page,evidence
local maximum,2,Zero order optimization techniques,44,36,"The same formal zero order definition can be made for local maxima as well, switching the ≤ sign to ≥"
random sampling,2,Zero order optimization techniques,45,37,pick the same number of input points at random (random sampling)
uniform sampling,2,Zero order optimization techniques,45,37,"sample (i.e., guess) them uniformly over an evenly spaced grid (uniform sampling)"
curse of dimensionality,2,Zero order optimization techniques,47,39,"the curse of dimensionality which, generally speaking, describes the exponential difficulty one encounters when trying to deal with functions of increasing input dimension"
descent direction,2,Zero order optimization techniques,48,40,"what is called a descent direction at w0 is found. This is a direction vector d0 in the input space that stems from w0, beginning at w0 and pointing away from it towards a new point w1 with lower function evaluation"
local optimization,2,Zero order optimization techniques,48,40,"local optimization methods work by starting with a single input point and then by sequentially refining it, driving the point towards an approximate minimizer"
sequential refinement,2,Zero order optimization techniques,48,40,"local optimization methods refine this initial point sequentially, pulling it downhill towards points that are lower and lower on the function"
initial point,2,Zero order optimization techniques,48,40,"Starting with a sample input, usually referred to as an initial point and denoted throughout the text by w0"
diminishing steplength rules,2,Zero order optimization techniques,57,49,A commonly used alternative to fixed steplength rules are the so-called diminishing steplength rules wherein we shrink or diminish the size of the steplength at each step of local optimization.
random search,2,Zero order optimization techniques,57,49,2.5 Random search ... the combination of steplength and maximum number of iterations are best chosen together.
convergence,2,Zero order optimization techniques,57,49,a small steplength combined with a large number of steps can guarantee convergence to a local minimizer
coordinate descent,2,Zero order optimization techniques,59,51,With coordinate descent we (ideally) take a step immediately after examining the positive and negative directions along each coordinate.
coordinate search,2,Zero order optimization techniques,59,51,The coordinate search and descent algorithms are additional zero order local methods that get around the inherent scaling issues of random local search by restricting the set of search directions to the coordinate axes of the input space.
steplength,2,Zero order optimization techniques,62,54,"the notions of descent directions, steplength / learning rates, diminishing steplength schemes, convergence, and cost function history plots."
cost function history plot,2,Zero order optimization techniques,62,54,"the notions of descent directions, steplength / learning rates, diminishing steplength schemes, convergence, and cost function history plots."
first order optimization methods,3,First order optimization techniques,65,57,"These techniques, collectively called first order optimization methods, are some of the most popular local optimization algorithms used to tackle machine learning problems today."
gradient descent,3,First order optimization techniques,65,57,"foremost among them the extremely popular gradient descent algorithm, that naturally determine high quality descent directions"
gradient,3,First order optimization techniques,65,57,fundamental optimization algorithms that leverage the first derivative or gradient of a function
descent direction,3,First order optimization techniques,65,57,that naturally determine high quality descent directions at a cost that is very often cheaper than even the coordinate-wise approaches
automatic differentiation,3,First order optimization techniques,66,58,"Gradient calculators come in several varieties, from those that provide numerical approximations to those that literally automate the simple derivative rules for elementary functions and operations."
chain rule,3,First order optimization techniques,66,58,In this particular case you can use the chain rule to write d/dw g(w) as d/dw g(w) = d/dw w^2 cos(w^2) = 2w cos(w^2)
numerical approximation,3,First order optimization techniques,66,58,"Gradient calculators come in several varieties, from those that provide numerical approximations to those that literally automate the simple derivative rules"
first order taylor series approximation,3,First order optimization techniques,67,59,"the line/hyperplane tangent to the function at its minimum point, also known as its first order Taylor series approximation"
global minimum,3,First order optimization techniques,67,59,With a simple convex quadratic this condition identifies the global minimum of the function
partial derivative,3,First order optimization techniques,67,59,any N dimensional point v where every partial derivative of g is zero
stationary points,3,First order optimization techniques,68,60,"Collectively minima, maxima, and saddle points are often referred to as stationary or critical points of a function."
first order system of equations,3,First order optimization techniques,68,60,This system of N equations is naturally referred to as the first order system of equations. We can also write the first order system more compactly using gradient notation as ∇g(v) = 0
saddle points,3,First order optimization techniques,68,60,The first order condition also equally characterizes maxima and saddle points of non-convex functions
closed form solution,3,First order optimization techniques,68,60,"that is, to solve such equations algebraically for ‘closed form’ solutions one can write out on paper"
local minimum,3,First order optimization techniques,69,61,local minima or points that are the smallest with respect to their immediate neighbors
rayleigh quotient,3,First order optimization techniques,69,61,By far the most important of these is the multi-input quadratic function and the highly related Rayleigh quotient
convex quadratic function,3,First order optimization techniques,71,63,Take the general multi-input quadratic function g(w) = a + b^T w + w^T C w where C is an N x N symmetric matrix
symmetric linear system,3,First order optimization techniques,71,63,Setting this equal to zero gives a symmetric linear system of equations of the form Cw = -1/2 b
coordinate descent,3,First order optimization techniques,72,64,"This idea, which is a form of coordinate descent, is especially effective when each of these equations can be solved for in closed form"
diminishing steplength rules,3,First order optimization techniques,99,91,Compare fixed and diminishing steplength values for a simple example
momentum accelerated gradient descent,3,First order optimization techniques,100,92,Code up the momentum accelerated gradient descent scheme described in Section A.2.2
normalized gradient descent,3,First order optimization techniques,100,92,compare the standard and fully normalized gradient descent schemes in minimizing the function
lipschitz continuous gradient,3,First order optimization techniques,101,93,functions g with Lipschitz continuous gradient is given by ‖∇g(x) − ∇g(y)‖₂ ≤ L‖x − y‖₂
second order optimality condition,4,Second order optimization techniques,102,94,the second order condition for optimality. This will help us better understand and quantify the behavior of Newton's method
second order taylor series approximation,4,Second order optimization techniques,102,94,"the second order Taylor series expansion, and the second order optimality condition"
convexity,4,Second order optimization techniques,102,94,if g′′ (v) ≥0 (or ≤0) then g is said to be convex (or concave) at v
curvature,4,Second order optimization techniques,102,94,the notion of curvature defined by second derivatives. To determine whether a general single-input function g is convex or concave at a point v we check its curvature or second derivative information at that point
positive semi-definite matrix,4,Second order optimization techniques,102,94,the Hessian matrix itself is called positive (or negative) semi-definite
quadratic function,4,Second order optimization techniques,103,95,The multi-input quadratic function g(w) = a + bTw + wTC w has the Hessian matrix ∇2g (w) = 2C
saddle points,4,Second order optimization techniques,104,96,a saddle point if ∂2/∂w2 g(v) = 0 and ∂2/∂w2 g(v) changes sign at v
stationary points,4,Second order optimization techniques,104,96,how the second derivative helps unveil the identity of stationary points
local minimum,4,Second order optimization techniques,104,96,a local or global minimum if ∂2/∂w2 g(v) > 0 (since it occurs at convex portions of a function)
eigenvalues of the hessian,4,Second order optimization techniques,105,97,a local minimum if all eigenvalues of ∇2g(v) are positive
gradient descent,4,Second order optimization techniques,108,100,the first order Taylor series approximation to a function leads to the local optimization framework of gradient descent
descent direction,4,Second order optimization techniques,109,101,"We saw in our discussion of gradient descent that the first order Taylor approximation, being a hyperplane itself, conveniently provides us with a descent direction (see Section 3.4)."
first order condition for optimality,4,Second order optimization techniques,109,101,We can compute the stationary point(s) of a quadratic function fairly easily using the first order condition for optimality
newton's method,4,Second order optimization techniques,118,110,Below we provide a simple implementation of Newton's method in Python
automatic differentiation,4,Second order optimization techniques,118,110,leveraging the excellent autograd Automatic Differentiation and numpy libraries
regularized newton's method,4,Second order optimization techniques,115,107,"The value of the regularization parameter ϵ is typically set to a small positive value (e.g., 10−7). The analogous adjustment for the general multi-input Newtons’s update is to add ϵIN×N (an N × N identity matrix scaled by a small positive ϵ value) to the Hessian matrix in Equation (4.14), giving"
convergence criterion,4,Second order optimization techniques,118,110,while we used a maximum iterations convergence criterion the potentially high computational cost of each Newton step often incentivizes the use of more formal convergence criterion
hessian matrix,4,Second order optimization techniques,119,111,requiring the storage and computation of not just a gradient but an entire N × N Hessian matrix of second derivative information
non-convex minimization,4,Second order optimization techniques,119,111,Newton's method can behave very badly when applied to minimizing non-convex functions
second order optimization,4,Second order optimization techniques,120,112,"second order optimization techniques, i.e., those that leverage both the first and second derivative(s) of a function in forming descent directions"
hessian-free optimization,4,Second order optimization techniques,120,112,the latter set of adjustments referred to as Hessian-free optimization
eigenvalue decomposition,4,Second order optimization techniques,611,603,"When the eigenvectors are all perpendicular to each other V is an orthonormal matrix1 and we have VVT = I. Thus multiplying both sides of Equation (C.43) by VT (on the right) we can express X completely in terms of its eigenvectors/values as X = VDVT."
second order definition of convexity,4,Second order optimization techniques,121,113,the second order definition of convexity for a vector input function g(w) requires that we verify whether or not the eigenvalues of ∇2g(w) are non-negative for each input w
sub-sampled newton's step,4,Second order optimization techniques,123,115,Implement the sub-sampled Newton's step outlined in Section A.8.1 ... formed by ignoring all off-diagonal elements of the Hessian
bfgs method,4,Second order optimization techniques,124,116,The Broyden–Fletcher–Goldfarb–Shanno (BFGS) method
quasi-newton method,4,Second order optimization techniques,124,116,in order to compute a secant-based Quasi-Newton descent step we would like to use its inverse
secant method,4,Second order optimization techniques,124,116,Secant's method ... employ the secant condition to derive a recursive update
sherman-morrison identity,4,Second order optimization techniques,124,116,Use the Sherman-Morrison identity to re-write your update in terms of Fk
regression,5,Linear regression,127,119,"In this Chapter we formally describe the supervised learning problem called linear regression, or the fitting of a representative line (or in higher dimensions a hyperplane) to a set of input/output data points. Regression in general may be performed for a variety of reasons: to produce a so-called trend line (or more generally - as we will see later - a curve) that can be used to visually summarize, drive home a particular point about the data under study, or to learn a model so that precise predictions can be made regarding output values in the future."
least absolute deviations,5,Linear regression,127,119,including a discussion of the Least Squares and Least Absolute Deviations costs
bias,5,Linear regression,128,120,"A line in two dimensions is defined as w0 + xw1 = y, where w0 is referred to as the bias and w1 the slope"
first order taylor series approximation,4,Second order optimization techniques,109,101,"We saw in our discussion of gradient descent that the first order Taylor approximation, being a hyperplane itself, conveniently provides us with a descent direction (see Section 3.4)."
least squares cost function,5,Linear regression,129,121,One of the more popular choices for doing this is called the Least Squares cost function. For a given set of parameters in the vector w this cost function computes the total squared error between the associated hyperplane and the data
feature,5,Linear regression,129,121,Each dimension of the input is referred to as a feature or input feature in machine learning parlance.
feature-touching weights,5,Linear regression,129,121,"we will often refer to the parameters w1, w2, ..., wN as the feature-touching weights, the only weight not touching a feature is the bias w0"
unconstrained optimization,5,Linear regression,130,122,we want to solve the unconstrained optimization problem minimize w 1/P sum (˚xT pw − yp)^2
normal equations,5,Linear regression,131,123,This is sometimes referred to as minimizing the Least Squares via solving its normal equations
backtracking line search,5,Linear regression,131,123,an adjustable method like backtracking line search (as detailed in Chapter 3)
vectorized implementation,5,Linear regression,135,127,It is easy to get around most of this inefficiency by replacing explicit for loops with numerically equivalent operations performed using operations from the numpy library
convexity,5,Linear regression,152,144,The line segment connecting two points on the graph of a convex function f always lies above the graph of f.
convex quadratic function,5,Linear regression,152,144,"the Least Squares cost function for linear regression is always a convex quadratic, and hence is a convex function."
standard normalization,5,Linear regression,152,144,you should standard normalize the input features of each - as detailed in Section 9.3 - prior to optimization.
multi-output regression,5,Linear regression,152,144,5.11 Multi-output regression
convex combination,5,Linear regression,152,144,"any point between x and y, which can be characterized by λx + (1 −λ) y for a certain λ ∈(0, 1)"
non-negative eigenvalues,5,Linear regression,153,145,the eigenvalues of such a matrix are always non-negative
quadratic cost function,5,Linear regression,153,145,g (w) = a + bTw + wTC w which is of course a general quadratic.
inner product,5,Linear regression,153,145,since the inner product ˚xTpw = wT ˚xp we can switch around the second inner product
outer product,5,Linear regression,153,145,the matrix C is constructed from a sum of outer product matrices
eigenvalues,5,Linear regression,153,145,the eigenvalues of such a matrix are always non-negative
perceptron cost,6,Linear Two-class Classification,172,164,"This cost function goes by many names such as the Perceptron cost, the rectified linear unit cost (or ReLU cost for short), and the hinge cost. we can take their average over the entire dataset to form a proper cost function"
softmax approximation to max,6,Linear Two-class Classification,172,164,"soft (s0, s1, ..., sC−1) = log (es0 + es1 + · · · + esC−1) , (6.34) where s0, s1, ..., sC−1 are any C scalar values - which is a generic smooth approximation to the max function"
rectified linear unit,6,Linear Two-class Classification,172,164,"The functional form of this point-wise cost max (0, ·) is often called a rectified linear unit for historical reasons"
convex cost function,6,Linear Two-class Classification,172,164,This cost function is always convex but only has a single (discontinuous) derivative in each input dimension
point-wise cost,6,Linear Two-class Classification,172,164,"equivalently forming a point-wise cost gp (w) = max(0, −yp˚xTpw) = 0"
trivial solution,6,Linear Two-class Classification,172,164,"the Perceptron cost always has a trivial solution at w = 0, since indeed g (0) = 0, thus one may need to take care in practice to avoid finding it"
softmax cost,6,Linear Two-class Classification,173,165,"giving the overall cost function as g (w) = sum log(1 + e^{−yp ˚xTpw}), which is the Softmax cost"
weight divergence to infinity,6,Linear Two-class Classification,174,166,This likewise decreases the Softmax cost as well with the minimum achieved only as C −→∞.
numerical instability,6,Linear Two-class Classification,174,166,This fact can cause severe numerical instability issues with local optimization schemes that make large progress at each step
early stopping,6,Linear Two-class Classification,176,168,"The former strategy (a form of what is called early stopping) is straightforward, requiring slight adjustments to the way we have typically employed local optimization"
regularization,6,Linear Two-class Classification,176,168,Both approaches are generally referred to in the jargon of machine learning as regularization strategies
normal vector to hyperplane,6,Linear Two-class Classification,176,168,the feature-touching weights ω define the normal vector of the linear decision boundary. The normal vector to a hyperplane is always perpendicular to it
signed distance to decision boundary,6,Linear Two-class Classification,177,169,the signed distance d of xp to the decision boundary is d = (b + xTpω) / ∥ω∥2
weight normalization,6,Linear Two-class Classification,178,170,we can always normalize them in a consistent way by dividing them by the magnitude of ω
regularization parameter,6,Linear Two-class Classification,179,171,the parameter λ ≥ 0 is called a regularization parameter. The parameter λ is used to balance how strongly we pressure one term or the other
l2 regularizer,6,Linear Two-class Classification,179,171,the term ∥ω∥2^2 is referred to as a regularizer
regularized softmax cost,6,Linear Two-class Classification,179,171,This relaxed form of the problem consists in minimizing a cost function that is a linear combination of our original Softmax cost and the magnitude of the feature weights
constrained softmax cost,6,Linear Two-class Classification,179,171,minimize (1/P) Σ log(1 + e^{-yp(b+xTpω)}) subject to ∥ω∥2^2 = 1
margin of separating hyperplane,6,Linear Two-class Classification,181,173,"the width of the buffer zone confined between two evenly spaced translates of a separating hyperplane that just touch each respective class, defines the margin"
margin-perceptron cost,6,Linear Two-class Classification,181,173,"g(w) = Σ max(0, 1 − yp x̌p^T w)"
smoothed margin-perceptron,6,Linear Two-class Classification,182,174,we can smooth out the Margin-Perceptron by replacing the max operator with softmax ... log(1 + e^{1−yp x̌^T w})
maximum margin decision boundary,6,Linear Two-class Classification,183,175,the decision boundary with the maximum margin is intuitively the best choice
hard-margin svm,6,Linear Two-class Classification,185,177,"minimize ∥ω∥2^2 subject to max(0, 1 − yp(b + xTpω)) = 0"
margin computation via normal vector,6,Linear Two-class Classification,185,177,∥x1 − x2∥2 = 2/∥ω∥2 ... finding the separating hyperplane with maximum margin is equivalent to finding the one with the smallest possible normal vector ω
soft-margin support vector machine,6,Linear Two-class Classification,186,178,This regularized form of the Margin-Perceptron cost function is referred to as the soft-margin support vector machine cost
support vectors,6,Linear Two-class Classification,186,178,the translates of the decision boundary pass through points from both classes - equidistant from the SVM linear decision boundary. These points are called support vectors
log-loss svm,6,Linear Two-class Classification,187,179,this soft-margin SVM cost even at times referred to as the log-loss SVM
categorical cross entropy cost,6,Linear Two-class Classification,188,180,This leads to the derivation of the so-called Categorical Cross Entropy cost function which - as we will see - is equivalent to the Cross Entropy cost.
one-hot encoded labels,6,Linear Two-class Classification,188,180,"transform our original numerical label values yp ∈{0, 1} with one-hot encoded vectors"
log error cost,6,Linear Two-class Classification,189,181,we are better off employing a Log Error (see Section 6.2) to better incentivize learning (producing a convex cost function)
confidence scoring,6,Linear Two-class Classification,191,183,"Once a proper decision boundary is learned, we can judge its confidence in any point based on the point's distance to the decision boundary."
classification accuracy,6,Linear Two-class Classification,192,184,we can also compute the accuracy - denoted by A - of a trained model. This is simply the percentage of training dataset whose labels are correctly predicted by the model
misclassification count,6,Linear Two-class Classification,192,184,The simplest metric for judging the quality of a fully trained model is to simply count the number of misclassifications it forms over our training dataset.
step function approximation,6,Linear Two-class Classification,192,184,Our classification cost functions are - in the end - based on smooth approximations to a discrete step function
early stopping by validation accuracy,6,Linear Two-class Classification,193,185,"the best step (the one that provides the best classification result), and corresponding weights, are associated with the lowest number of misclassifications (or likewise the highest accuracy), not the lowest cost function value"
cost function versus misclassification discrepancy,6,Linear Two-class Classification,193,185,it is not the case that just because the cost function value is decreasing that so too is the number of misclassifications
balanced accuracy,6,Linear Two-class Classification,194,186,We can then combine these two metrics into a single value by taking their average. This combined metric is called balanced accuracy
confusion matrix,6,Linear Two-class Classification,195,187,A confusion matrix is a simple look-up table where classification results are broken down by actual (across rows) and predicted (across columns) class membership.
precision,6,Linear Two-class Classification,196,188,In the jargon of machine learning these individual accuracy metrics are often called precision (A+1) and specificity (A−1) respectively.
weighted classification,6,Linear Two-class Classification,197,189,Because our two-class classification cost functions are summable over individual points we can - as we did with regression in Section 5.5 - weight individual points in order to emphasize or de-emphasize their importance to a classification model. This is called weighted classification.
weighted softmax cost,6,Linear Two-class Classification,197,189,"This leads to the notion of weighting two-class cost functions, like for example the weighted Softmax cost which we write below"
point-wise weights,6,Linear Two-class Classification,197,189,"Here the values β1, β2, ..., βP are fixed point-wise weights."
weighting by confidence,6,Linear Two-class Classification,198,190,we can also think of assigning the fixed weight values in Equation (6.83) based on our 'confidence' of the legitimacy of a datapoint
inverse class frequency weighting,6,Linear Two-class Classification,199,191,it is common to assign such weights inversely proportional to the number of members of each class
linear multi-class classification,7,Linear Multi-class Classification,204,196,In this Chapter we describe how to generalize what we have seen in the previous Chapter to deal with this multi-class setting - referred to as linear multi-class classification.
multi-class perceptron,7,Linear Multi-class Classification,204,196,we describe several perspectives on multi-class classification including One-versus-All and the multi-class Perceptron
categorical multi-class classification,7,Linear Multi-class Classification,204,196,extensions of basic principles (including categorical and weighted multi-class classification)
weighted multi-class classification,7,Linear Multi-class Classification,204,196,extensions of basic principles (including categorical and weighted multi-class classification)
one-versus-all classification,7,Linear Multi-class Classification,205,197,"To solve this adjacent problem we learn C two-class classifiers over the entire dataset, with the cth classifier trained to distinguish the cth class from the remainder of the data, and hence called a one-versus-rest or one-versus-all classifier."
signed distance to decision boundary,7,Linear Multi-class Classification,207,199,we can consider the signed distance of x to a two-class decision boundary as a measure of our confidence in how the point should be labeled.
weight normalization,7,Linear Multi-class Classification,209,201,if we normalize the weights of each linear classifier by the length of its normal vector (containing all feature-touching weights)
bias,7,Linear Multi-class Classification,209,201,"Decomposing the weights w_j of our jth classifier by separating the bias weight from feature-touching weights as (bias): b_j = w_{0,j}"
fusion rule,7,Linear Multi-class Classification,211,203,We call this the fusion rule since we can think of it as a rule that fuses our C two-class classifiers together to determine the label that must be assigned to a point based on the notion of signed distance to decision boundary.
piecewise linear decision boundary,7,Linear Multi-class Classification,212,204,In general when using linear two-class classifiers the boundary resulting from the fusion rule will always be piecewise linear
mini-batch gradient descent,7,Linear Multi-class Classification,235,227,the mini-batch run drastically accelerates minimization in terms of both the cost function (left panel) and number of misclassifications (right panel)
softmax cost function,7,Linear Multi-class Classification,235,227,minimizing multi-class Perceptron or Cross Entropy / Softmax cost functions
multi-class perceptron cost,7,Linear Multi-class Classification,235,227,minimizing multi-class Perceptron or Cross Entropy / Softmax cost functions
multi-class classification metrics,7,Linear Multi-class Classification,235,227,Multi-class metrics - natural extensions of those metrics first described for two-class problems in Section 6.8 - were then detailed in Section 7.6.
batch size,7,Linear Multi-class Classification,235,227,using a batch of size 200 for the mini-batch version
categorical labels,7,Linear Multi-class Classification,235,227,"we discussed the arbitrary nature of choosing label values, by detailing the most arbitrary choice: categorical labels"
steplength,7,Linear Multi-class Classification,235,227,the same steplength for both runs
balanced accuracy,7,Linear Multi-class Classification,237,229,"Extend the notion of balanced accuracy, detailed in the context of two-class classification (see Section 6.8.4), to the multi-class setting."
weighted softmax cost,7,Linear Multi-class Classification,237,229,A general weighted version of the two-class Softmax cost is given in Equation (6.83). What will the analogous weighted multi-class Softmax cost function look like?
class imbalance,7,Linear Multi-class Classification,237,229,If we set the weights the of cost function to deal with class imbalance - as detailed for the two-class case in Section 6.9.3
convexity of cost functions,7,Linear Multi-class Classification,237,229,Show that the multi-class Perceptron and Softmax costs are always convex (regardless of the dataset used).
hessian of softmax cost,7,Linear Multi-class Classification,237,229,Show that the Hessian of the multi-class Softmax cost function can be computed block-wise
spanning set,8,Linear Unsupervised Learning,240,232,"Those vectors drawn as arrows are particular points, often called a basis or spanning set of vectors, over which we aim to represent every other point in the space."
mean-centering,8,Linear Unsupervised Learning,240,232,we will assume that our dataset has been mean-centered: a simple and completely reversible operation that involves subtracting off the mean of the dataset along each input dimension so that it straddles the origin.
orthonormal spanning set,8,Linear Unsupervised Learning,242,234,"An orthonormal basis or spanning set is a very special kind of spanning set whose elements (i) have unit length, and (ii) are perpendicular or orthogonal to each other."
autoencoder formula,8,Linear Unsupervised Learning,243,235,the autoencoder formula since it expresses how a point xp is first encoded (via wp = CTxp) and then decoded back to itself (Cwp = CCTxp).
projection,8,Linear Unsupervised Learning,244,236,the decoding Cwp is precisely the projection of xp onto the subspace spanned by C.
gradient descent,8,Linear Unsupervised Learning,245,237,local optimization techniques including gradient descent
linear autoencoder,8,Linear Unsupervised Learning,246,238,"the linear Autoencoder cost function in Equation (8.17). We can think of this Least Squares as enforcing the Autoencoder formula shown in Equation (8.14) to hold when properly minimized, and thus it is often referred to as the linear Autoencoder."
principal component analysis,8,Linear Unsupervised Learning,247,239,"Principal Component Analysis, or PCA for short, in practice."
dimension reduction,8,Linear Unsupervised Learning,248,240,PCA can technically be used to reduce the dimension of data in a predictive modeling scenario
covariance matrix regularization,8,Linear Unsupervised Learning,250,242,to avoid computational trouble we typically compute principal components of the regularized covariance matrix 1/P X X^T + λ I_{N×N} instead of the raw covariance matrix itself
k-means clustering,8,Linear Unsupervised Learning,252,244,"The subject of this Section, the K-means algorithm, is an elementary example of another set of unsupervised learning methods called clustering algorithms."
matrix factorization,8,Linear Unsupervised Learning,252,244,"some ideal spanning set of K fundamental taste vectors (which we can package in an N × K matrix C) exist so that each vector xp can be truly expressed as the linear combination Cwp ≈xp, p = 1, ..., P. In order to then learn both the spanning set C and each weight vector wp we could initially propose to minimize a Least Squares cost similar to one shown in Equation (8.16)."
coordinate descent,8,Linear Unsupervised Learning,252,244,and coordinate descent (see Section 3.3.2) based schemes to properly minimize it.
least squares cost for incomplete data,8,Linear Unsupervised Learning,252,244,"we can only minimize that Least Squares cost over these entries, i.e., g(w1,...,wP, C) = 1/P ∑_p ||{C w_p - x_p}|_{Ω_p}||^2"
cluster centroid,8,Linear Unsupervised Learning,253,245,Each cluster center - also called a centroid - is marked by a star symbol
cluster assignment,8,Linear Unsupervised Learning,254,246,"the point x_p belongs to or is assigned to cluster k⋆ if a_p = argmin_{k=1,...,K} ||x_p - c_k||^2"
centroid initialization,8,Linear Unsupervised Learning,254,246,we can start off by taking a random guess at the locations of our K centroids
sequential refinement,8,Linear Unsupervised Learning,255,247,"To further refine our centroids / clusters we can now simply repeat the above two-step process of a) re-assigning points based on our new centroid locations and then b) updating the centroid locations as the average of those points assigned to each cluster."
intra-cluster distance,8,Linear Unsupervised Learning,256,248,"For example, one metric for determining the best clustering from a set of runs is the average distance of each point to its cluster centroid - called the average intra-cluster distance."
scree plot,8,Linear Unsupervised Learning,256,248,"In the right panel we plot the best distance value attained for each value of K tried, a plot often referred to in the jargon of machine learning as a scree plot."
non-negative matrix factorization,8,Linear Unsupervised Learning,261,253,"giving the so-called non-negative matrix factorization problem minimize ∥CW −X∥2F C,W (8.40) subject to C, W ≥0."
sparse coding,8,Linear Unsupervised Learning,261,253,"Sparse coding is a constrained matrix factorization problem often written as minimize ∥CW −X∥2F C,W (8.39) subject to wp 0 ≤S, p = 1, . . . , P,"
pca least squares cost,8,Linear Unsupervised Learning,264,256,"the PCA Least Squares cost function in Equation (8.29) is not convex, it is bi-convex"
alternating minimization,8,Linear Unsupervised Learning,264,256,alternating minimization. Such optimization methods are widely used to solve general matrix factorization problems
bi-convex function,8,Linear Unsupervised Learning,264,256,it is bi-convex in that it is convex in each matrix of parameters C and W independently
orthogonal matrix,8,Linear Unsupervised Learning,265,257,the only such matrices that have this property are orthogonal
variance maximization,8,Linear Unsupervised Learning,267,259,we aim to recover a form of the basis vector c1 that points in the maximum direction of variance in the dataset.
rayleigh quotient,8,Linear Unsupervised Learning,267,259,Written in this form the above takes the form of a so-called Rayleigh Quotient
feature engineering,9,Feature Engineering and Selection,269,261,Feature engineering methods consist of an array of techniques that are applied to data before they are used by either supervised or unsupervised models.
feature selection,9,Feature Engineering and Selection,269,261,"Feature selection can be thought of as a supervised dimension reduction technique that reduces the total number of features involved in a regression or classification, making the resulting model more human interpretable."
local optimization,9,Feature Engineering and Selection,269,261,drastically improving the efficacy of many local optimization methods.
regularization,9,Feature Engineering and Selection,269,261,In Sections 9.6 and 9.7 we discuss two popular ways for performing feature selection: boosting and regularization.
boosting,9,Feature Engineering and Selection,269,261,In Sections 9.6 and 9.7 we discuss two popular ways for performing feature selection: boosting and regularization.
dimension reduction,9,Feature Engineering and Selection,269,261,Feature selection can be thought of as a supervised dimension reduction technique
