adjacency matrix,graph coded into matrices,matrix a,a,graph adjacency matrix,graph matrix a,a matrix,graph structure,graph topology,structural patterns,adjacency,a_tilde
graph representation,modeling interactions,modeling relationships,"g = (v, e",graph embedding,graph structure,topology
road network
social network
citation network,scientific literature graph
node feature generation,generate node feature matrix
edge feature generation,generate edge feature matrix
random initialization,initialize randomly
topological attribute initialization,initialize using topological attributes
identity vector initialization,initialize using identity vector
graph representation learning,graph embedding
generative gnn dimensions,domain,time,resolution
multigraph prediction,target graph 1,target graph n
gnn mapping function,message passing
graph super-resolution,super-resolved graph,graph sr,super-resolving graphs
brain graph evolution prediction,time-dependent gnn
sparsity regularization,sparsity
gnn loss function
loss minimization,minimize loss
utility of graph generation,graph formation process,identifying abnormal parts,predicting new structures
molecular graph generation,chemical graph generation
density estimation,learn the distribution
sampling,generative sampling,sampled noise
maximum likelihood estimation,mle
noise distribution,prior distribution
deep network function,generator network
unconditional generation,conditional generation,conditioning on graphs
one-shot generating
sequential generating
node-sequence,node-sequence-based graph generation
node addition
edge-sequence,edge-sequence-based graph generation
motif-sequence,motif-sequence-based graph generation
rule-sequence,rule-sequence-based graph generation
edge connection
gaussian distribution,normal distribution
variational autoencoder,vae
latent space
gaussian prior
reconstruction loss,self-reconstruction loss
graphvae,variational graph autoencoder
node update
edge update
kl divergence,kullback-leibler divergence,kld,kl
decoder
graph matching
softmax
argmax
element-wise product,hadamard product
projection vector,p
node scores,y
encoder-decoder gnns,encoder decoder graph neural network
node-edge co-transformation,nect
embedding-based nect
editing-based nect
skip connection
top-k node selection
sigmoid activation
graph unet,g-u-nets,graph u-net,g-unet
dag-to-dag
directed acyclic graph,dag
coarsened graph
reconstruction
edge attributes,edge features
graph reconstruction
graph u-autoencoder,graph uae
ned-vae,node edge distribution variational autoencoder
latent variable,latent representation
mean absolute error,mae
eigenvector centrality,centrality measures
degree distribution,degree
evaluation metrics,metrics for graph generative models
maximum mean discrepancy,mmd
fréchet inception distance,fid
graph distribution,p_data(g,p_model(g; theta
