concept,lecture,pdf_file,pdf_page,page_title,evidence,source_type,confidence,bbox
social network,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,Social networks are graphs where nodes are people and the edges represent friendships between them.,printed,1.000,"[5.5,220.0,220.0,236.5]"
citation network,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,The scientific literature can be viewed as a graph in which the nodes are papers and the edges represent citations.,printed,1.000,"[5.5,236.5,220.0,253.0]"
knowledge graph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,Wikipedia can be thought of as a graph in which the nodes are articles and the edges represent hyperlinks between articles.,printed,1.000,"[5.5,253.0,220.0,269.5]"
program flow graph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,Computer programs can be represented as graphs in which the nodes are syntax tokens... and the edges represent computations involving these variables.,printed,1.000,"[5.5,269.5,220.0,291.5]"
geometric graph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,"Geometric point clouds can be represented as graphs. Here, each point is a node and has edges that connect to other nearby points.",printed,1.000,"[5.5,291.5,220.0,308.0]"
protein interaction network,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,"Protein interactions in a cell can be expressed as graphs, where the nodes are the proteins, and there is an edge between two proteins if they interact.",printed,1.000,"[5.5,308.0,220.0,324.5]"
high-order relationships,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,models high-order relationships among nodes,handwritten,0.950,"[286.0,357.5,412.5,379.5]"
subgraph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,A graph H is called a subgraph of G if every vertex and edge of H belong to G,handwritten,1.000,"[752.5,357.5,945.0,412.5]"
vertex set,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,V(H) \subseteq V(G),handwritten,1.000,"[752.5,412.5,835.0,429.0]"
edge set,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,E(H) \subseteq E(G),handwritten,1.000,"[846.0,412.5,928.5,429.0]"
hypergraph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,A hypergraph H is a generalization of a graph in which an edge can join any number of vertices.,handwritten,1.000,"[275.0,450.0,495.0,532.5]"
hyperedge,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,It is a set of non-empty subsets (or hyperedges).,handwritten,1.000,"[275.0,532.5,495.0,560.0]"
proper subgraph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,all other subgraphs are proper subgraphs,handwritten,0.950,"[752.5,549.0,890.0,565.5]"
spanning subgraph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,"If H is a subgraph of G having the same vertices as G, then H is a spanning subgraph of G.",handwritten,0.950,"[752.5,571.0,945.0,593.0]"
incidence matrix,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,incidence matrix,handwritten,1.000,"[275.0,615.0,357.5,642.5]"
hierarchical graph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,e) The scene on the left can be represented by a hierarchical graph.,printed,1.000,"[55.0,670.0,220.0,697.5]"
annotated graph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,A graph G is annotated or decorated if its nodes can hold attributes / features.,handwritten,0.950,"[505.0,670.0,725.0,725.0]"
induced subgraph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,"Given a non-empty set S != empty set of nodes of G, the subgraph G[S] of G induced by S has vertex set S where two vertices u and v are adjacent if and only if they are adjacent in G.",handwritten,0.950,"[752.5,670.0,945.0,752.5]"
heterogeneous graph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,"A heterogeneous graph G = (V, E, R, T)",handwritten,1.000,"[275.0,725.0,440.0,780.0]"
relation type,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,relation type r ∈ R,handwritten,1.000,"[330.0,752.5,385.0,780.0]"
node type,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,nodes with node types v_i ∈ V,handwritten,1.000,"[302.5,780.0,357.5,807.5]"
edge type,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,"edges with relation types (v_i, r, v_j) ∈ E",handwritten,1.000,"[357.5,780.0,412.5,807.5]"
feature matrix,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,X = ... feature matrix,handwritten,0.950,"[615.0,780.0,725.0,835.0]"
node embedding,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,Each node has an associated embedding of length five (brown vectors).,printed,1.000,"[55.0,807.5,220.0,835.0]"
edge embedding,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,Each edge has an associated embedding of length four (blue vectors).,printed,1.000,"[55.0,821.25,220.0,848.75]"
triplet,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,triplet encoding the relationship between pairs of ns,handwritten,1.000,"[330.0,835.0,440.0,862.5]"
embedding matrix,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,embedding matrix,handwritten,0.950,"[615.0,835.0,725.0,851.5]"
feature integration,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,Printed heading '3. The power of integrating information',printed,1.000,"[670.0,27.5,835.0,82.5]"
symmetric matrix,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,symmetric vs asymmetric matrix,printed,1.000,"[55.0,55.0,165.0,82.5]"
weighted graph,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,weighted or binary,printed,1.000,"[55.0,55.0,165.0,82.5]"
permutation invariance,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,permutation invariance,printed,1.000,"[330.0,55.0,440.0,82.5]"
graph density,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,"Scale/size (density, sparsity)",printed,1.000,"[330.0,55.0,440.0,82.5]"
graph sparsity,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,"Scale/size (density, sparsity)",printed,1.000,"[330.0,55.0,440.0,82.5]"
directed graph,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,directed,handwritten,0.900,"[110.0,110.0,165.0,137.5]"
linear regression,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,Diagram showing matrix multiplication Xw = y and loss function l(w),mixed,1.000,"[642.5,220.0,807.5,385.0]"
graph efficiency,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,Efficiency and resilience,printed,1.000,"[55.0,330.0,165.0,357.5]"
graph resilience,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,Efficiency and resilience,printed,1.000,"[55.0,330.0,165.0,357.5]"
percolation threshold,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,percolation threshold,handwritten,0.900,"[110.0,385.0,165.0,412.5]"
adjacency matrix,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,"Adjacency matrix, A N x N",printed,1.000,"[412.5,412.5,522.5,522.5]"
topology,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,Printed heading '4. Topology',printed,1.000,"[725.0,412.5,972.5,522.5]"
degree centrality,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,Handwritten text 'degree centrality' and formula 'di = 3',handwritten,0.950,"[642.5,440.0,752.5,495.0]"
betweenness centrality,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,Handwritten text 'betweenness centrality' near a graph diagram,handwritten,0.900,"[862.5,467.5,945.0,522.5]"
core-periphery structure,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,Handwritten text 'core & periphery' highlighted in yellow,handwritten,0.950,"[752.5,495.0,835.0,522.5]"
node centrality measures,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,node centrality measures,handwritten,0.950,"[55.0,752.5,165.0,769.0]"
eigen decomposition,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,Printed text: '6. Spectra of the matrix (eigen decomposition)',printed,1.000,"[450.0,752.5,714.0,972.5]"
graph walks,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,Printed text: '5. Walks (powers of matrices)',printed,1.000,"[736.0,752.5,972.5,972.5]"
matrix powers,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,Printed text: '5. Walks (powers of matrices)',printed,1.000,"[736.0,752.5,972.5,972.5]"
microscale topology,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,micro scale topology,handwritten,0.950,"[55.0,780.0,137.5,796.5]"
mesoscale topology,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,mesoscale topology,handwritten,0.950,"[192.5,780.0,275.0,796.5]"
covariance matrix,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,COVARIANCE MATRIX,handwritten,0.950,"[385.0,780.0,467.5,796.5]"
star-like graphs,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,star-like graphs,handwritten,0.950,"[302.5,807.5,357.5,824.0]"
principal component analysis,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,The eigen decomposition of Σ is equivalent to a principal component analysis (PCA),handwritten,0.950,"[357.5,835.0,522.5,851.5]"
highly connected core structure,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,highly connected core structure,handwritten,0.950,"[220.0,917.5,302.5,934.0]"
eigenvalues,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,eigenvalues,handwritten,0.950,"[385.0,945.0,440.0,961.5]"
eigenvectors,1,DGL_Lecture_1_Annotated.pdf,2,Graph Properties and Matrix Representations,eigenvectors,handwritten,0.950,"[467.5,945.0,522.5,961.5]"
graph classification,1,DGL_Lecture_1_Annotated.pdf,3,Graph Neural Network Prediction Tasks,"Printed heading 'Graph classification' and handwritten note 'classify a graph (e.g., molecule poisoning or not)'.",mixed,1.000,"[0.0,0.0,275.0,82.5]"
node classification,1,DGL_Lecture_1_Annotated.pdf,3,Graph Neural Network Prediction Tasks,Printed heading 'Node classification' and handwritten note 'Classify node from node embedding'.,mixed,1.000,"[275.0,0.0,550.0,82.5]"
node embedding,1,DGL_Lecture_1_Annotated.pdf,3,Graph Neural Network Prediction Tasks,Handwritten label 'node embedding' pointing to vector h_k^(n) and printed text 'embedding of m' and 'embedding of n'.,mixed,1.000,"[450.0,0.0,1000.0,550.0]"
edge prediction,1,DGL_Lecture_1_Annotated.pdf,3,Graph Neural Network Prediction Tasks,Printed heading 'Edge prediction' and diagram showing prediction of edge presence between nodes 1 and 2.,printed,1.000,"[730.5,0.0,1000.0,550.0]"
graph neural network,1,DGL_Lecture_1_Annotated.pdf,3,Graph Neural Network Prediction Tasks,Diagram label 'Graph neural network' with an arrow indicating the transformation process.,printed,1.000,"[55.0,110.0,110.0,165.0]"
fixed adjacency matrix,1,DGL_Lecture_1_Annotated.pdf,3,Graph Neural Network Prediction Tasks,"Handwritten note 'A = fixed' under the graph diagrams, indicating the structure does not change during the specific operation shown.",handwritten,0.950,"[110.0,220.0,220.0,247.5]"
logistic activation,1,DGL_Lecture_1_Annotated.pdf,3,Graph Neural Network Prediction Tasks,Printed text 'Logistic activation (sigmoid)' and handwritten formula usage 'y = sig[...]'.,mixed,1.000,"[0.0,275.0,275.0,330.0]"
average pooling,1,DGL_Lecture_1_Annotated.pdf,3,Graph Neural Network Prediction Tasks,Handwritten note 'average / mean pooling' pointing to the operation involving the '1' vector and scalar N.,handwritten,0.900,"[220.0,275.0,330.0,330.0]"
dot product,1,DGL_Lecture_1_Annotated.pdf,3,Graph Neural Network Prediction Tasks,Formula h^(m)T h^(n) representing the dot product between two node embeddings for edge prediction.,printed,1.000,"[730.5,275.0,945.0,385.0]"
predicted class probability,1,DGL_Lecture_1_Annotated.pdf,3,Graph Neural Network Prediction Tasks,Handwritten note 'predicted class probability' pointing to the output $y$.,handwritten,0.900,"[0.0,302.5,82.5,357.5]"
binary classification,1,DGL_Lecture_1_Annotated.pdf,3,Graph Neural Network Prediction Tasks,"Handwritten note 'prob. of link existence' and output y^(mn) ∈ {0, 1}, indicating a binary classification task.",handwritten,0.950,"[730.5,330.0,945.0,495.0]"
learned weights,1,DGL_Lecture_1_Annotated.pdf,3,Graph Neural Network Prediction Tasks,Printed text 'learned weights' and handwritten symbol omega_K.,mixed,1.000,"[110.0,780.0,165.0,796.5]"
supervised regression,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",Reminder: Supervised regression (linear),printed,1.000,"[604.0,16.5,846.0,38.5]"
single regression model,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",Single regression model,printed,1.000,"[604.0,49.5,725.0,66.0]"
multi-regression models,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",Multi-regression models,printed,1.000,"[780.0,49.5,917.5,66.0]"
l2 loss,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",L2 loss,handwritten,0.900,"[736.0,82.5,769.0,93.5]"
deep learning,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",DL,handwritten,0.950,"[231.0,121.0,319.0,165.0]"
bias,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",bias,handwritten,0.900,"[681.0,121.0,697.5,132.0]"
feature representation,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",CLASSIC FEATURE REPRESENTATION METHODS,handwritten,0.950,"[203.5,176.0,374.0,220.0]"
machine learning,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",ML,handwritten,0.950,"[66.0,286.0,99.0,308.0]"
hand-crafted features,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",HAND-CRAFTED FEATURES,handwritten,0.950,"[176.0,286.0,286.0,319.0]"
feature selection,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",FEATURE SELECTION,handwritten,0.950,"[341.0,286.0,451.0,319.0]"
single layer linear network,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",A single layer linear network with a single output,printed,1.000,"[604.0,286.0,752.5,297.0]"
classification,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",Classify,handwritten,0.950,"[319.0,330.0,357.5,341.0]"
regression,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",Regress,handwritten,0.950,"[429.0,330.0,467.5,341.0]"
spanning set,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",SPANNING SET,handwritten,0.950,"[165.0,385.0,275.0,407.0]"
weights,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",weights,handwritten,0.900,"[642.5,396.0,670.0,407.0]"
encode-decode function,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",ENCODE-DECODE FUNCTION,handwritten,0.950,"[165.0,407.0,275.0,440.0]"
nonlinear network,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",A single layer nonlinear network with a multiple outputs,printed,1.000,"[604.0,451.0,780.0,462.0]"
network mapping function,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",Let us write down the network mapping function,printed,1.000,"[807.5,451.0,972.5,462.0]"
fixed prior,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",FIXED/PRIOR,handwritten,0.950,"[137.5,484.0,220.0,506.0]"
representation learning,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",AIM: Transform complex features into a space where linear models can work well in the final representation space.,handwritten,1.000,"[5.5,532.5,99.0,697.5]"
optimal subspace,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",LEARNABLE (OPTIMAL SUBSPACE FOR THE DATA),handwritten,1.000,"[302.5,532.5,467.5,587.5]"
dimensionality reduction,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",Imperfect K < d lower-dimensional spanning space,handwritten,1.000,"[137.5,587.5,192.5,642.5]"
matrix factorization,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",MATRIX FACTORIZATION: CW ≈ X; we factor the matrix X into a product of two matrices C x W.,mixed,1.000,"[264.0,587.5,467.5,642.5]"
activation function,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",activation function a,handwritten,0.900,"[670.0,642.5,725.0,659.0]"
latent representation,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",latent representations / features,handwritten,0.900,"[725.0,642.5,780.0,659.0]"
principal component analysis,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",PCA: Linear autoencoder. Find an orthonormal spanning basis minimizing the data variance.,mixed,1.000,"[264.0,648.0,341.0,736.0]"
k-means clustering,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",K-MEANS: Group similar samples into clusters.,mixed,1.000,"[346.5,648.0,423.5,736.0]"
matrix completion,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",MATRIX COMPLETION: Complete missing values in the data matrix.,mixed,1.000,"[429.0,648.0,506.0,736.0]"
deep non-negative matrix factorization,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",A Deep Non-Negative Matrix Factorization Neural Network... Theorem 1 A standard deep N.N. defined above can be written as a multi-layered deep nonnegative matrix factorization (Deep NMF) optimization.,printed,1.000,"[302.5,747.0,506.0,791.0]"
hidden layer,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",hidden layer 1,printed,1.000,"[697.5,807.5,752.5,824.0]"
backpropagation,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",COMPOSITION & BACKPROPAGATION,handwritten,1.000,"[110.0,862.5,302.5,890.0]"
linear aggregation,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",linear aggregation,handwritten,0.900,"[642.5,917.5,697.5,934.0]"
nonlinear transformation,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",first nonlinear transformation,handwritten,0.900,"[752.5,945.0,807.5,961.5]"
composed feature transformation,2,DGL_Lecture_2_Annotated.pdf,1,"Deep Learning Preliminaries: Regression, Networks, and Representation Learning",final composed feature transformation,handwritten,0.900,"[697.5,972.5,807.5,989.0]"
feature embedding,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,Feature embedding in deep learning and manifold learning,printed,1.000,"[5.5,5.5,247.5,27.5]"
manifold learning,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,Feature embedding in deep learning and manifold learning,printed,1.000,"[5.5,5.5,247.5,27.5]"
ml problem formalization,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,ML problem formalization,printed,1.000,"[412.5,5.5,522.5,27.5]"
high-dimensional manifold,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,Individualistic points -- data samples live independently on a high-dimensional manifold,printed,1.000,"[725.0,55.0,972.5,71.5]"
linear aggregation,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,linear aggregation,handwritten,0.900,"[27.5,82.5,82.5,93.5]"
nonlinear transformation,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,first nonlinear transformation,handwritten,0.900,"[165.0,82.5,247.5,93.5]"
composed feature transformation,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,final composed feature transformation,handwritten,0.900,"[82.5,110.0,220.0,121.0]"
reductionist assumption,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,Underlying reductionist assumption,printed,1.000,"[642.5,137.5,697.5,192.5]"
hidden layer,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,hidden layer 1,handwritten,0.900,"[110.0,220.0,154.0,231.0]"
shared mapping,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,shared mapping w across all training samples,printed,1.000,"[455.5,247.5,615.0,264.0]"
training samples,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,"However, our training samples are not allowed to directly",mixed,0.900,"[357.5,341.0,522.5,352.0]"
node-based features,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,1. Node-based features,printed,1.000,"[357.5,467.5,440.0,478.5]"
edge-based features,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,2. Edge-based features,printed,1.000,"[467.5,467.5,550.0,478.5]"
graph-based features,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,3. Graph-based features,printed,1.000,"[642.5,467.5,752.5,522.5]"
collectivist points,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,Collectivist points -- data samples co-interact and co-learn together via a graph structure (A),printed,1.000,"[670.0,615.0,945.0,642.5]"
feature extraction,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,feature extraction from A,handwritten,0.900,"[532.5,642.5,615.0,670.0]"
graph classification,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,Graph classification,printed,1.000,"[455.5,670.0,532.5,697.5]"
adjacency matrix,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,"Adjacency matrix, A",printed,1.000,"[725.0,725.0,780.0,752.5]"
node embedding,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,"Node data, X",printed,1.000,"[780.0,725.0,835.0,752.5]"
geodesic distance,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,geodesic = shortest path concavity xi to xj on the M,handwritten,0.950,"[247.5,807.5,330.0,862.5]"
graph neural network,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,Graph neural network diagram with GCN label,mixed,1.000,"[374.0,807.5,522.5,945.0]"
intrinsic dimension,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,d': intrinsic dimension,handwritten,1.000,"[27.5,879.0,192.5,901.0]"
extrinsic dimension,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,d: extrinsic dimension,handwritten,1.000,"[198.0,879.0,357.5,901.0]"
neighborhood preservation,2,DGL_Lecture_2_Annotated.pdf,2,Feature Embedding and Graph-Based Learning,Underlying reductionist hypothesis: neighborhood preservation across the original and embedding spaces,printed,1.000,"[5.5,917.5,385.0,939.5]"
graph convolutional network,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,"A single GCN layer (shallow), A vanilla GCN layer, Graph mapping/embedding through a graph neural network",printed,1.000,"[714.0,27.5,972.5,137.5]"
node embedding,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,Sample embedding = latent/hidden representation = encoding = transformation = mapping,mixed,1.000,"[55.0,82.5,220.0,110.0]"
deep neural network,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,"Training sample (node) mapping/encoding through a deep neural network, hidden layer 1, hidden layer L",printed,1.000,"[725.0,82.5,972.5,137.5]"
graph structure encoding,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,learn a node embedding that encodes its network structure,handwritten,0.950,"[110.0,137.5,275.0,165.0]"
representation learning,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,"W_1^T, W_L^T, feature transformation",mixed,1.000,"[725.0,137.5,972.5,247.5]"
constrained embedding,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,Constrained embedding,handwritten,0.900,"[110.0,192.5,220.0,209.0]"
neighborhood preservation,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,preserve the local structure / neighborhood of the graph,handwritten,0.950,"[110.0,220.0,275.0,247.5]"
latent representation,2,DGL_Lecture_2_Annotated.pdf,3,Graph Neural Networks and Node Embedding,embedding ∈ R^d',handwritten,0.900,"[165.0,330.0,247.5,346.5]"
