formula_id,concept,latex,lecture,pdf_file,pdf_page,source_type,confidence,bbox,label
DGL-F0015,triplet,"e_{12}^{cite} = (v_1, ""cite"", v_2)",1,DGL_Lecture_1_Annotated.pdf,1,handwritten,1.000,"[330.0,890.0,440.0,917.5]",Heterogeneous edge triplet
DGL-F0016,graph density,"A_{i,j} \neq 0",1,DGL_Lecture_1_Annotated.pdf,2,handwritten,0.950,"[560.0,82.5,615.0,110.0]",Edge Condition
DGL-F0017,permutation invariance,A' = P^T A P,1,DGL_Lecture_1_Annotated.pdf,2,mixed,1.000,"[477.5,165.0,615.0,220.0]",Permutation of Adjacency Matrix
DGL-F0018,matrix powers,A \times A = A^2,1,DGL_Lecture_1_Annotated.pdf,2,handwritten,0.950,"[862.5,769.0,917.5,791.0]",Matrix power relation
DGL-F0018,adjacency matrix,A \times A = A^2,1,DGL_Lecture_1_Annotated.pdf,2,handwritten,0.950,"[862.5,769.0,917.5,791.0]",Matrix power relation
DGL-F0019,eigen decomposition,A \vec{x} = \lambda \vec{x},1,DGL_Lecture_1_Annotated.pdf,2,handwritten,0.950,"[357.5,780.0,412.5,807.5]",eigenvalue equation
DGL-F0019,eigenvalues,A \vec{x} = \lambda \vec{x},1,DGL_Lecture_1_Annotated.pdf,2,handwritten,0.950,"[357.5,780.0,412.5,807.5]",eigenvalue equation
DGL-F0019,eigenvectors,A \vec{x} = \lambda \vec{x},1,DGL_Lecture_1_Annotated.pdf,2,handwritten,0.950,"[357.5,780.0,412.5,807.5]",eigenvalue equation
DGL-F0020,graph classification,y = \text{sig} \left[ \beta_K + \omega_K H_K \mathbf{1} / N \right],1,DGL_Lecture_1_Annotated.pdf,3,mixed,0.950,"[27.5,247.5,247.5,302.5]",Graph Classification Output
DGL-F0020,logistic activation,y = \text{sig} \left[ \beta_K + \omega_K H_K \mathbf{1} / N \right],1,DGL_Lecture_1_Annotated.pdf,3,mixed,0.950,"[27.5,247.5,247.5,302.5]",Graph Classification Output
DGL-F0020,average pooling,y = \text{sig} \left[ \beta_K + \omega_K H_K \mathbf{1} / N \right],1,DGL_Lecture_1_Annotated.pdf,3,mixed,0.950,"[27.5,247.5,247.5,302.5]",Graph Classification Output
DGL-F0020,learned weights,y = \text{sig} \left[ \beta_K + \omega_K H_K \mathbf{1} / N \right],1,DGL_Lecture_1_Annotated.pdf,3,mixed,0.950,"[27.5,247.5,247.5,302.5]",Graph Classification Output
DGL-F0021,node classification,y^{(n)} = \text{sig} \left[ \beta_K + \omega_K h_K^{(n)} \right],1,DGL_Lecture_1_Annotated.pdf,3,mixed,0.950,"[302.5,247.5,522.5,302.5]",Node Classification Output
DGL-F0021,logistic activation,y^{(n)} = \text{sig} \left[ \beta_K + \omega_K h_K^{(n)} \right],1,DGL_Lecture_1_Annotated.pdf,3,mixed,0.950,"[302.5,247.5,522.5,302.5]",Node Classification Output
DGL-F0021,learned weights,y^{(n)} = \text{sig} \left[ \beta_K + \omega_K h_K^{(n)} \right],1,DGL_Lecture_1_Annotated.pdf,3,mixed,0.950,"[302.5,247.5,522.5,302.5]",Node Classification Output
DGL-F0021,node embedding,y^{(n)} = \text{sig} \left[ \beta_K + \omega_K h_K^{(n)} \right],1,DGL_Lecture_1_Annotated.pdf,3,mixed,0.950,"[302.5,247.5,522.5,302.5]",Node Classification Output
DGL-F0022,edge prediction,y^{(mn)} = \text{sig} \left[ h^{(m)T} h^{(n)} \right],1,DGL_Lecture_1_Annotated.pdf,3,mixed,1.000,"[730.5,275.0,945.0,357.5]",Edge prediction output
DGL-F0022,logistic activation,y^{(mn)} = \text{sig} \left[ h^{(m)T} h^{(n)} \right],1,DGL_Lecture_1_Annotated.pdf,3,mixed,1.000,"[730.5,275.0,945.0,357.5]",Edge prediction output
DGL-F0022,dot product,y^{(mn)} = \text{sig} \left[ h^{(m)T} h^{(n)} \right],1,DGL_Lecture_1_Annotated.pdf,3,mixed,1.000,"[730.5,275.0,945.0,357.5]",Edge prediction output
DGL-F0022,node embedding,y^{(mn)} = \text{sig} \left[ h^{(m)T} h^{(n)} \right],1,DGL_Lecture_1_Annotated.pdf,3,mixed,1.000,"[730.5,275.0,945.0,357.5]",Edge prediction output
DGL-F0023,average pooling,\omega_K \times H_K \times \frac{1}{N}\mathbf{1} = \text{scalar},1,DGL_Lecture_1_Annotated.pdf,3,mixed,0.900,"[0.0,357.5,275.0,467.5]",Pooling Operation Detail
DGL-F0023,node embedding,\omega_K \times H_K \times \frac{1}{N}\mathbf{1} = \text{scalar},1,DGL_Lecture_1_Annotated.pdf,3,mixed,0.900,"[0.0,357.5,275.0,467.5]",Pooling Operation Detail
DGL-F0023,learned weights,\omega_K \times H_K \times \frac{1}{N}\mathbf{1} = \text{scalar},1,DGL_Lecture_1_Annotated.pdf,3,mixed,0.900,"[0.0,357.5,275.0,467.5]",Pooling Operation Detail
DGL-F0024,logistic activation,\sigma(x) = \frac{1}{1 + e^{-x}},1,DGL_Lecture_1_Annotated.pdf,3,printed,1.000,"[165.0,560.0,275.0,604.0]",sigmoid function
DGL-F0025,logistic activation,\frac{d}{dx}\sigma(x) = \sigma(x) \cdot (1 - \sigma(x)),1,DGL_Lecture_1_Annotated.pdf,3,printed,1.000,"[165.0,642.5,330.0,686.5]",derivative of sigmoid
DGL-F0026,single regression model,l(w) = \frac{1}{n} \sum_{i=1}^{n} (\tilde{x}_i^T w - y_i)^2,2,DGL_Lecture_2_Annotated.pdf,1,mixed,0.900,"[604.0,82.5,736.0,110.0]",loss function
DGL-F0026,l2 loss,l(w) = \frac{1}{n} \sum_{i=1}^{n} (\tilde{x}_i^T w - y_i)^2,2,DGL_Lecture_2_Annotated.pdf,1,mixed,0.900,"[604.0,82.5,736.0,110.0]",loss function
DGL-F0027,multi-regression models,l(W) = ||\tilde{X}W - Y||_2^2 = \frac{1}{C} \sum_{c=1}^{C} (\tilde{X}w_c - y_c)^2,2,DGL_Lecture_2_Annotated.pdf,1,mixed,0.900,"[780.0,82.5,945.0,110.0]",loss function
DGL-F0027,l2 loss,l(W) = ||\tilde{X}W - Y||_2^2 = \frac{1}{C} \sum_{c=1}^{C} (\tilde{X}w_c - y_c)^2,2,DGL_Lecture_2_Annotated.pdf,1,mixed,0.900,"[780.0,82.5,945.0,110.0]",loss function
DGL-F0028,weights,w \in \mathbb{R}^{d+1},2,DGL_Lecture_2_Annotated.pdf,1,mixed,0.900,"[703.0,209.0,752.5,220.0]",weight vector
DGL-F0029,weights,W \in \mathbb{R}^{(d+1) \times C},2,DGL_Lecture_2_Annotated.pdf,1,mixed,0.900,"[780.0,209.0,862.5,220.0]",weight matrix
DGL-F0029,multi-regression models,W \in \mathbb{R}^{(d+1) \times C},2,DGL_Lecture_2_Annotated.pdf,1,mixed,0.900,"[780.0,209.0,862.5,220.0]",weight matrix
DGL-F0030,multi-regression models,\hat{Y} \in \mathbb{R}^{n \times C},2,DGL_Lecture_2_Annotated.pdf,1,mixed,0.900,"[868.0,209.0,945.0,220.0]",predicted output matrix
DGL-F0031,multi-regression models,Y \in \mathbb{R}^{n \times C},2,DGL_Lecture_2_Annotated.pdf,1,mixed,0.900,"[950.5,209.0,1000.0,220.0]",ground truth matrix
DGL-F0032,single layer linear network,\hat{y}_i = \tilde{x}_i^T w,2,DGL_Lecture_2_Annotated.pdf,1,mixed,0.900,"[714.0,341.0,769.0,352.0]",output prediction
DGL-F0033,matrix factorization,CW \approx X,2,DGL_Lecture_2_Annotated.pdf,1,mixed,1.000,"[264.0,604.0,319.0,620.5]",Matrix Factorization Objective
DGL-F0034,ml problem formalization,l(w) = \frac{1}{n} \sum_{i=1}^{n} (\tilde{x}_i^T w - y_i)^2,2,DGL_Lecture_2_Annotated.pdf,2,printed,1.000,"[412.5,55.0,522.5,82.5]",loss function
DGL-F0035,training samples,\tilde{X} \in \mathbb{R}^{n \times (d+1)},2,DGL_Lecture_2_Annotated.pdf,2,printed,1.000,"[357.5,165.0,412.5,176.0]",feature matrix
DGL-F0036,shared mapping,w \in \mathbb{R}^{d+1},2,DGL_Lecture_2_Annotated.pdf,2,printed,1.000,"[412.5,165.0,467.5,176.0]",weight vector
DGL-F0037,feature embedding,f: \mathbb{R}^d \to \mathbb{R}^{d'} \text{ is an embedding function},2,DGL_Lecture_2_Annotated.pdf,2,handwritten,0.950,"[27.5,846.0,302.5,868.0]",embedding function definition
DGL-F0037,manifold learning,f: \mathbb{R}^d \to \mathbb{R}^{d'} \text{ is an embedding function},2,DGL_Lecture_2_Annotated.pdf,2,handwritten,0.950,"[27.5,846.0,302.5,868.0]",embedding function definition
DGL-F0037,intrinsic dimension,f: \mathbb{R}^d \to \mathbb{R}^{d'} \text{ is an embedding function},2,DGL_Lecture_2_Annotated.pdf,2,handwritten,0.950,"[27.5,846.0,302.5,868.0]",embedding function definition
DGL-F0037,extrinsic dimension,f: \mathbb{R}^d \to \mathbb{R}^{d'} \text{ is an embedding function},2,DGL_Lecture_2_Annotated.pdf,2,handwritten,0.950,"[27.5,846.0,302.5,868.0]",embedding function definition
DGL-F0038,deep neural network,W_1^T \dot{a}(W_L^T \dot{a}(\cdots \dot{a}(W_1^T x_i))),2,DGL_Lecture_2_Annotated.pdf,3,mixed,0.900,"[752.5,137.5,972.5,192.5]",Deep network composition
DGL-F0038,representation learning,W_1^T \dot{a}(W_L^T \dot{a}(\cdots \dot{a}(W_1^T x_i))),2,DGL_Lecture_2_Annotated.pdf,3,mixed,0.900,"[752.5,137.5,972.5,192.5]",Deep network composition
DGL-F0038,activation function,W_1^T \dot{a}(W_L^T \dot{a}(\cdots \dot{a}(W_1^T x_i))),2,DGL_Lecture_2_Annotated.pdf,3,mixed,0.900,"[752.5,137.5,972.5,192.5]",Deep network composition
DGL-F0039,similarity function,"\text{maximize } f(u)^T f(v) = z_u^T z_v \text{ for pairs } (u,v) \text{ that are close/similar}",2,DGL_Lecture_2_Annotated.pdf,3,mixed,0.900,"[55.0,385.0,275.0,429.0]",objective
DGL-F0040,feature matrix,X = H_0,2,DGL_Lecture_2_Annotated.pdf,3,printed,1.000,"[780.0,429.0,835.0,451.0]",Input feature matrix definition
DGL-F0040,node embedding,X = H_0,2,DGL_Lecture_2_Annotated.pdf,3,printed,1.000,"[780.0,429.0,835.0,451.0]",Input feature matrix definition
DGL-F0041,graph convolutional network,H_{k+1} = \sigma(\hat{A} H_k \Omega_k),2,DGL_Lecture_2_Annotated.pdf,3,printed,1.000,"[807.5,440.0,945.0,467.5]",GCN layer update rule
DGL-F0041,message passing,H_{k+1} = \sigma(\hat{A} H_k \Omega_k),2,DGL_Lecture_2_Annotated.pdf,3,printed,1.000,"[807.5,440.0,945.0,467.5]",GCN layer update rule
DGL-F0041,representation learning,H_{k+1} = \sigma(\hat{A} H_k \Omega_k),2,DGL_Lecture_2_Annotated.pdf,3,printed,1.000,"[807.5,440.0,945.0,467.5]",GCN layer update rule
DGL-F0041,activation function,H_{k+1} = \sigma(\hat{A} H_k \Omega_k),2,DGL_Lecture_2_Annotated.pdf,3,printed,1.000,"[807.5,440.0,945.0,467.5]",GCN layer update rule
DGL-F0042,loss function,l(w) = \frac{1}{n} \sum_{i=1}^n (\tilde{x}_i^T w - y_i)^2,2,DGL_Lecture_2_Annotated.pdf,3,printed,1.000,"[330.0,467.5,495.0,495.0]",
DGL-F0043,self-loop augmentation,\hat{A} = A + I,2,DGL_Lecture_2_Annotated.pdf,3,printed,1.000,"[752.5,467.5,835.0,495.0]",Adjacency matrix with self-loops
DGL-F0043,adjacency matrix,\hat{A} = A + I,2,DGL_Lecture_2_Annotated.pdf,3,printed,1.000,"[752.5,467.5,835.0,495.0]",Adjacency matrix with self-loops
DGL-F0044,loss function,l(w) = \frac{1}{n} \sum_{i=1}^{n} (\tilde{x}_i^T w - y_i)^2,2,DGL_Lecture_2_Annotated.pdf,3,printed,0.950,"[357.5,505.0,522.5,560.0]",loss function
DGL-F0044,feature matrix,l(w) = \frac{1}{n} \sum_{i=1}^{n} (\tilde{x}_i^T w - y_i)^2,2,DGL_Lecture_2_Annotated.pdf,3,printed,0.950,"[357.5,505.0,522.5,560.0]",loss function
DGL-F0045,message passing,H_1 = \hat{A} H_0 \Omega_0,2,DGL_Lecture_2_Annotated.pdf,3,printed,1.000,"[725.0,604.0,862.5,626.0]",Layer 1 propagation
DGL-F0045,representation learning,H_1 = \hat{A} H_0 \Omega_0,2,DGL_Lecture_2_Annotated.pdf,3,printed,1.000,"[725.0,604.0,862.5,626.0]",Layer 1 propagation
DGL-F0046,receptive field,H_{k+1} = \hat{A}^{k+1} X \Omega_{total},2,DGL_Lecture_2_Annotated.pdf,3,mixed,0.900,"[725.0,681.0,862.5,714.0]",Generalized k-layer propagation
DGL-F0047,feature matrix,\tilde{X} \in \mathbb{R}^{n \times (d+1)},2,DGL_Lecture_2_Annotated.pdf,3,printed,0.950,"[357.5,697.5,467.5,725.0]",feature matrix
DGL-F0048,feature matrix,w \in \mathbb{R}^{d+1},2,DGL_Lecture_2_Annotated.pdf,3,printed,0.950,"[412.5,697.5,495.0,725.0]",weight vector
DGL-F0049,loss function,l(w) = \frac{1}{n} \sum_{i=1}^n (\tilde{x}_i^T w - y_i)^2,2,DGL_Lecture_2_Annotated.pdf,3,printed,1.000,"[642.5,807.5,752.5,835.0]",Squared error loss
DGL-F0050,node embedding,"H_1 = F[X, A, \phi_0]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,862.5,522.5,890.0]",hidden representation 1
DGL-F0050,function f,"H_1 = F[X, A, \phi_0]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,862.5,522.5,890.0]",hidden representation 1
DGL-F0050,activation function,"H_1 = F[X, A, \phi_0]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,862.5,522.5,890.0]",hidden representation 1
DGL-F0050,adjacency matrix,"H_1 = F[X, A, \phi_0]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,862.5,522.5,890.0]",hidden representation 1
DGL-F0050,feature matrix,"H_1 = F[X, A, \phi_0]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,862.5,522.5,890.0]",hidden representation 1
DGL-F0051,node embedding,"H_2 = F[H_1, A, \phi_1]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,890.0,522.5,917.5]",hidden representation 2
DGL-F0051,function f,"H_2 = F[H_1, A, \phi_1]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,890.0,522.5,917.5]",hidden representation 2
DGL-F0051,activation function,"H_2 = F[H_1, A, \phi_1]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,890.0,522.5,917.5]",hidden representation 2
DGL-F0051,adjacency matrix,"H_2 = F[H_1, A, \phi_1]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,890.0,522.5,917.5]",hidden representation 2
DGL-F0052,layer-wise normalization,H_{k+1} = \sigma(\hat{D}^{-\frac{1}{2}} \hat{A} \hat{D}^{-\frac{1}{2}} H_k \Omega_k),2,DGL_Lecture_2_Annotated.pdf,3,mixed,0.900,"[725.0,890.0,862.5,917.5]",Normalized propagation rule
DGL-F0053,node embedding,"H_3 = F[H_2, A, \phi_2]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,917.5,522.5,945.0]",hidden representation 3
DGL-F0053,function f,"H_3 = F[H_2, A, \phi_2]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,917.5,522.5,945.0]",hidden representation 3
DGL-F0053,activation function,"H_3 = F[H_2, A, \phi_2]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,917.5,522.5,945.0]",hidden representation 3
DGL-F0053,adjacency matrix,"H_3 = F[H_2, A, \phi_2]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,917.5,522.5,945.0]",hidden representation 3
DGL-F0054,node embedding,"H_K = F[H_{K-1}, A, \phi_{K-1}]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,945.0,522.5,972.5]",hidden representation K
DGL-F0054,function f,"H_K = F[H_{K-1}, A, \phi_{K-1}]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,945.0,522.5,972.5]",hidden representation K
DGL-F0054,activation function,"H_K = F[H_{K-1}, A, \phi_{K-1}]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,945.0,522.5,972.5]",hidden representation K
DGL-F0054,adjacency matrix,"H_K = F[H_{K-1}, A, \phi_{K-1}]",2,DGL_Lecture_2_Annotated.pdf,3,handwritten,0.950,"[357.5,945.0,522.5,972.5]",hidden representation K
DGL-F0055,graph convolutional network,H_{k+1} = a \left[ \beta_k 1^T + \Omega_k H_k + \Omega_k H_k A \right],2,DGL_Lecture_2_Annotated.pdf,4,printed,1.000,"[275.0,55.0,495.0,110.0]",Update rule for all nodes
DGL-F0055,node embedding,H_{k+1} = a \left[ \beta_k 1^T + \Omega_k H_k + \Omega_k H_k A \right],2,DGL_Lecture_2_Annotated.pdf,4,printed,1.000,"[275.0,55.0,495.0,110.0]",Update rule for all nodes
DGL-F0055,representation learning,H_{k+1} = a \left[ \beta_k 1^T + \Omega_k H_k + \Omega_k H_k A \right],2,DGL_Lecture_2_Annotated.pdf,4,printed,1.000,"[275.0,55.0,495.0,110.0]",Update rule for all nodes
DGL-F0055,bias,H_{k+1} = a \left[ \beta_k 1^T + \Omega_k H_k + \Omega_k H_k A \right],2,DGL_Lecture_2_Annotated.pdf,4,printed,1.000,"[275.0,55.0,495.0,110.0]",Update rule for all nodes
DGL-F0055,activation function,H_{k+1} = a \left[ \beta_k 1^T + \Omega_k H_k + \Omega_k H_k A \right],2,DGL_Lecture_2_Annotated.pdf,4,printed,1.000,"[275.0,55.0,495.0,110.0]",Update rule for all nodes
DGL-F0056,graph convolutional network,H_{k+1} = a \left[ \beta_k 1^T + \Omega_k H_k (A + I) \right],2,DGL_Lecture_2_Annotated.pdf,4,mixed,0.950,"[752.5,154.0,917.5,192.5]",vanilla GCN update
DGL-F0056,message passing,H_{k+1} = a \left[ \beta_k 1^T + \Omega_k H_k (A + I) \right],2,DGL_Lecture_2_Annotated.pdf,4,mixed,0.950,"[752.5,154.0,917.5,192.5]",vanilla GCN update
DGL-F0056,self-loop augmentation,H_{k+1} = a \left[ \beta_k 1^T + \Omega_k H_k (A + I) \right],2,DGL_Lecture_2_Annotated.pdf,4,mixed,0.950,"[752.5,154.0,917.5,192.5]",vanilla GCN update
DGL-F0057,node embedding,h_i^{(n)} = a \left[ \beta_0 + \Omega_0 x_i^{(n)} + \Omega_0 \text{agg}[n] \right],2,DGL_Lecture_2_Annotated.pdf,4,printed,1.000,"[55.0,165.0,220.0,192.5]",Node embedding update rule
DGL-F0057,message passing,h_i^{(n)} = a \left[ \beta_0 + \Omega_0 x_i^{(n)} + \Omega_0 \text{agg}[n] \right],2,DGL_Lecture_2_Annotated.pdf,4,printed,1.000,"[55.0,165.0,220.0,192.5]",Node embedding update rule
DGL-F0057,representation learning,h_i^{(n)} = a \left[ \beta_0 + \Omega_0 x_i^{(n)} + \Omega_0 \text{agg}[n] \right],2,DGL_Lecture_2_Annotated.pdf,4,printed,1.000,"[55.0,165.0,220.0,192.5]",Node embedding update rule
DGL-F0057,bias,h_i^{(n)} = a \left[ \beta_0 + \Omega_0 x_i^{(n)} + \Omega_0 \text{agg}[n] \right],2,DGL_Lecture_2_Annotated.pdf,4,printed,1.000,"[55.0,165.0,220.0,192.5]",Node embedding update rule
DGL-F0057,activation function,h_i^{(n)} = a \left[ \beta_0 + \Omega_0 x_i^{(n)} + \Omega_0 \text{agg}[n] \right],2,DGL_Lecture_2_Annotated.pdf,4,printed,1.000,"[55.0,165.0,220.0,192.5]",Node embedding update rule
DGL-F0058,message passing,"\text{agg}[n, k] = \sum_{m \in \mathcal{N}[n]} h_k^{(m)}",2,DGL_Lecture_2_Annotated.pdf,4,printed,1.000,"[110.0,330.0,220.0,357.5]",message (embedding) aggregation across neighbors
DGL-F0059,graph neural network,H_{k+1} = a \left[ \beta_k 1^T + \Omega_k H_k (A + (1 + \epsilon_k) I) \right],2,DGL_Lecture_2_Annotated.pdf,4,mixed,0.930,"[752.5,374.0,917.5,412.5]",enhanced GCN with learnable self-loop
DGL-F0059,self-loop augmentation,H_{k+1} = a \left[ \beta_k 1^T + \Omega_k H_k (A + (1 + \epsilon_k) I) \right],2,DGL_Lecture_2_Annotated.pdf,4,mixed,0.930,"[752.5,374.0,917.5,412.5]",enhanced GCN with learnable self-loop
DGL-F0060,message passing,H_{k+1} = a [\beta_k 1^T + \Psi_k H_k + \Omega_k H_k A],2,DGL_Lecture_2_Annotated.pdf,4,printed,1.000,"[752.5,642.5,945.0,670.0]",GNN layer update with separate self-transform
DGL-F0060,representation learning,H_{k+1} = a [\beta_k 1^T + \Psi_k H_k + \Omega_k H_k A],2,DGL_Lecture_2_Annotated.pdf,4,printed,1.000,"[752.5,642.5,945.0,670.0]",GNN layer update with separate self-transform
DGL-F0061,graph classification,"f[X, A, \Phi] = \text{sig} [\beta_K + \omega_K (H_K 1/N)]",2,DGL_Lecture_2_Annotated.pdf,4,mixed,0.900,"[450.0,807.5,670.0,835.0]",Graph classification prediction
DGL-F0061,network output function,"f[X, A, \Phi] = \text{sig} [\beta_K + \omega_K (H_K 1/N)]",2,DGL_Lecture_2_Annotated.pdf,4,mixed,0.900,"[450.0,807.5,670.0,835.0]",Graph classification prediction
DGL-F0061,logistic activation,"f[X, A, \Phi] = \text{sig} [\beta_K + \omega_K (H_K 1/N)]",2,DGL_Lecture_2_Annotated.pdf,4,mixed,0.900,"[450.0,807.5,670.0,835.0]",Graph classification prediction
DGL-F0062,graph convolutional network,"H_{k+1} = f(H_k, A)",3,DGL_Lecture_3_Annotated.pdf,1,mixed,0.900,"[55.0,192.5,165.0,220.0]",generalized propagation rule
DGL-F0062,message passing,"H_{k+1} = f(H_k, A)",3,DGL_Lecture_3_Annotated.pdf,1,mixed,0.900,"[55.0,192.5,165.0,220.0]",generalized propagation rule
DGL-F0063,message passing,"\text{agg}[n, k] = \sum_{m \in \mathcal{N}[n]} h_k^{(m)}",3,DGL_Lecture_3_Annotated.pdf,1,printed,1.000,"[220.0,220.0,330.0,247.5]",aggregation function
DGL-F0064,node embedding,"h_{k+1}^{(n)} = a\left[\beta_k + \Omega_k \cdot h_k^{(n)} + \Omega_k \cdot \text{agg}[n, k]\right]",3,DGL_Lecture_3_Annotated.pdf,1,mixed,0.900,"[165.0,247.5,330.0,275.0]",node embedding update
DGL-F0064,representation learning,"h_{k+1}^{(n)} = a\left[\beta_k + \Omega_k \cdot h_k^{(n)} + \Omega_k \cdot \text{agg}[n, k]\right]",3,DGL_Lecture_3_Annotated.pdf,1,mixed,0.900,"[165.0,247.5,330.0,275.0]",node embedding update
DGL-F0065,message passing,H_{k+1} = a(\hat{A}H_k\Omega_k),3,DGL_Lecture_3_Annotated.pdf,1,mixed,0.900,"[835.0,275.0,945.0,302.5]",GCN propagation rule
DGL-F0066,loop,\hat{A} = A + I,3,DGL_Lecture_3_Annotated.pdf,1,mixed,0.900,"[642.5,302.5,697.5,330.0]",adjacency matrix with self-loops
DGL-F0067,graph convolutional network,H_{k+1} = a\left[\beta_k 1^T + \Omega_k H_k (A + I)\right],3,DGL_Lecture_3_Annotated.pdf,1,printed,1.000,"[165.0,330.0,330.0,357.5]",update rule for all node embeddings
DGL-F0067,representation learning,H_{k+1} = a\left[\beta_k 1^T + \Omega_k H_k (A + I)\right],3,DGL_Lecture_3_Annotated.pdf,1,printed,1.000,"[165.0,330.0,330.0,357.5]",update rule for all node embeddings
DGL-F0068,backpropagation,\Theta_t = \Theta_{t-1} - \eta \nabla \mathcal{L}(\Theta_{t-1}),3,DGL_Lecture_3_Annotated.pdf,1,printed,1.000,"[372.9,330.0,544.5,357.5]",gradient descent update rule
DGL-F0068,stochastic gradient descent,\Theta_t = \Theta_{t-1} - \eta \nabla \mathcal{L}(\Theta_{t-1}),3,DGL_Lecture_3_Annotated.pdf,1,printed,1.000,"[372.9,330.0,544.5,357.5]",gradient descent update rule
