visual_id,concept,file_name,lecture,pdf_file,pdf_page,kind,description,source_type,confidence,bbox
DGL-G0017,node embedding,l01_p01_graph_representation_17.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Figure 3 Graph representation. a) Example graph with six nodes and seven edges. Each node has an associated embedding of length five (brown vectors). Each edge has an associated embedding of length four (blue vectors). This graph can be represented by three matrices. b) The adjacency matrix is a binary matrix, where the element (m, n) is set to one if node m connects to node n. c) The node data matrix X contains the concatenated node embeddings. d) The edge data matrix E contains the edge embeddings.",printed,1.000,"[27.5,752.5,247.5,890.0]"
DGL-G0017,edge embedding,l01_p01_graph_representation_17.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Figure 3 Graph representation. a) Example graph with six nodes and seven edges. Each node has an associated embedding of length five (brown vectors). Each edge has an associated embedding of length four (blue vectors). This graph can be represented by three matrices. b) The adjacency matrix is a binary matrix, where the element (m, n) is set to one if node m connects to node n. c) The node data matrix X contains the concatenated node embeddings. d) The edge data matrix E contains the edge embeddings.",printed,1.000,"[27.5,752.5,247.5,890.0]"
DGL-G0018,annotated graph,l01_p01_annotated_graph_18.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Example of an annotated graph with nodes v1, v2, v3, v4 and their corresponding feature vectors.",handwritten,0.950,"[505.0,752.5,670.0,862.5]"
DGL-G0018,node embedding,l01_p01_annotated_graph_18.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Example of an annotated graph with nodes v1, v2, v3, v4 and their corresponding feature vectors.",handwritten,0.950,"[505.0,752.5,670.0,862.5]"
DGL-G0019,induced subgraph,l01_p01_induced_subgraph_19.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,Examples of induced subgraphs G1 and G2 from a larger graph G.,handwritten,0.950,"[752.5,752.5,917.5,862.5]"
DGL-G0020,heterogeneous graph,l01_p01_heterogeneous_graph_20.png,1,DGL_Lecture_1_Annotated.pdf,1,diagram,heterogeneous graph with nodes and edges having types,handwritten,1.000,"[275.0,780.0,495.0,945.0]"
DGL-G0020,node type,l01_p01_heterogeneous_graph_20.png,1,DGL_Lecture_1_Annotated.pdf,1,diagram,heterogeneous graph with nodes and edges having types,handwritten,1.000,"[275.0,780.0,495.0,945.0]"
DGL-G0020,edge type,l01_p01_heterogeneous_graph_20.png,1,DGL_Lecture_1_Annotated.pdf,1,diagram,heterogeneous graph with nodes and edges having types,handwritten,1.000,"[275.0,780.0,495.0,945.0]"
DGL-G0020,relation type,l01_p01_heterogeneous_graph_20.png,1,DGL_Lecture_1_Annotated.pdf,1,diagram,heterogeneous graph with nodes and edges having types,handwritten,1.000,"[275.0,780.0,495.0,945.0]"
DGL-G0021,feature matrix,l01_p01_feature_matrix_21.png,1,DGL_Lecture_1_Annotated.pdf,1,matrix,Feature matrix X representing node attributes in an annotated graph.,handwritten,0.950,"[615.0,780.0,725.0,835.0]"
DGL-G0022,symmetric matrix,l01_p02_symmetric_matrix_01.png,1,DGL_Lecture_1_Annotated.pdf,2,diagram,Comparison of symmetric and asymmetric adjacency matrices with corresponding directed and undirected graphs,mixed,0.900,"[27.5,82.5,302.5,302.5]"
DGL-G0022,directed graph,l01_p02_symmetric_matrix_01.png,1,DGL_Lecture_1_Annotated.pdf,2,diagram,Comparison of symmetric and asymmetric adjacency matrices with corresponding directed and undirected graphs,mixed,0.900,"[27.5,82.5,302.5,302.5]"
DGL-G0023,permutation invariance,l01_p02_permutation_invariance_02.png,1,DGL_Lecture_1_Annotated.pdf,2,diagram,Illustration of permutation invariance in graphs and matrices,mixed,0.900,"[302.5,82.5,522.5,302.5]"
DGL-G0023,adjacency matrix,l01_p02_permutation_invariance_02.png,1,DGL_Lecture_1_Annotated.pdf,2,diagram,Illustration of permutation invariance in graphs and matrices,mixed,0.900,"[302.5,82.5,522.5,302.5]"
DGL-G0024,feature integration,l01_p02_feature_integration_03.png,1,DGL_Lecture_1_Annotated.pdf,2,diagram,"Matrix multiplication diagram showing input features X, weights W, and output scores y, illustrating feature integration",mixed,1.000,"[642.5,110.0,835.0,275.0]"
DGL-G0024,linear regression,l01_p02_feature_integration_03.png,1,DGL_Lecture_1_Annotated.pdf,2,diagram,"Matrix multiplication diagram showing input features X, weights W, and output scores y, illustrating feature integration",mixed,1.000,"[642.5,110.0,835.0,275.0]"
DGL-G0025,permutation invariance,l01_p02_permutation_invariance_04.png,1,DGL_Lecture_1_Annotated.pdf,2,matrix,Visual representation of matrix permutation A' = P^T A P with colored blocks,mixed,1.000,"[505.0,192.5,642.5,247.5]"
DGL-G0026,graph efficiency,l01_p02_graph_efficiency_05.png,1,DGL_Lecture_1_Annotated.pdf,2,graph example,"Examples of graphs illustrating efficiency and resilience, including percolation threshold",mixed,0.900,"[27.5,302.5,302.5,522.5]"
DGL-G0026,graph resilience,l01_p02_graph_efficiency_05.png,1,DGL_Lecture_1_Annotated.pdf,2,graph example,"Examples of graphs illustrating efficiency and resilience, including percolation threshold",mixed,0.900,"[27.5,302.5,302.5,522.5]"
DGL-G0026,percolation threshold,l01_p02_graph_efficiency_05.png,1,DGL_Lecture_1_Annotated.pdf,2,graph example,"Examples of graphs illustrating efficiency and resilience, including percolation threshold",mixed,0.900,"[27.5,302.5,302.5,522.5]"
DGL-G0027,adjacency matrix,l01_p02_adjacency_matrix_06.png,1,DGL_Lecture_1_Annotated.pdf,2,matrix,Example of an adjacency matrix for a graph with 6 nodes,printed,1.000,"[412.5,412.5,522.5,522.5]"
DGL-G0028,degree centrality,l01_p02_degree_centrality_07.png,1,DGL_Lecture_1_Annotated.pdf,2,graph example,Small graph with nodes and edges used to illustrate degree centrality and topological roles,handwritten,0.950,"[642.5,412.5,725.0,467.5]"
DGL-G0028,topology,l01_p02_degree_centrality_07.png,1,DGL_Lecture_1_Annotated.pdf,2,graph example,Small graph with nodes and edges used to illustrate degree centrality and topological roles,handwritten,0.950,"[642.5,412.5,725.0,467.5]"
DGL-G0029,betweenness centrality,l01_p02_betweenness_centrality_08.png,1,DGL_Lecture_1_Annotated.pdf,2,graph example,Graph with weighted edges illustrating betweenness centrality and core-periphery structure,handwritten,0.900,"[835.0,440.0,945.0,495.0]"
DGL-G0029,core-periphery structure,l01_p02_betweenness_centrality_08.png,1,DGL_Lecture_1_Annotated.pdf,2,graph example,Graph with weighted edges illustrating betweenness centrality and core-periphery structure,handwritten,0.900,"[835.0,440.0,945.0,495.0]"
DGL-G0030,graph walks,l01_p02_graph_walks_09.png,1,DGL_Lecture_1_Annotated.pdf,2,graph example,Example graph with 8 nodes used to demonstrate walks and adjacency matrix properties,printed,1.000,"[736.0,791.0,807.5,846.0]"
DGL-G0030,adjacency matrix,l01_p02_graph_walks_09.png,1,DGL_Lecture_1_Annotated.pdf,2,graph example,Example graph with 8 nodes used to demonstrate walks and adjacency matrix properties,printed,1.000,"[736.0,791.0,807.5,846.0]"
DGL-G0031,adjacency matrix,l01_p02_adjacency_matrix_10.png,1,DGL_Lecture_1_Annotated.pdf,2,matrix,Adjacency matrix A (8x8) corresponding to the example graph,printed,1.000,"[813.0,791.0,879.0,846.0]"
DGL-G0032,matrix powers,l01_p02_matrix_powers_11.png,1,DGL_Lecture_1_Annotated.pdf,2,matrix,Squared adjacency matrix A^2 showing number of walks of length two,printed,1.000,"[884.5,791.0,950.5,846.0]"
DGL-G0032,graph walks,l01_p02_matrix_powers_11.png,1,DGL_Lecture_1_Annotated.pdf,2,matrix,Squared adjacency matrix A^2 showing number of walks of length two,printed,1.000,"[884.5,791.0,950.5,846.0]"
DGL-G0033,microscale topology,l01_p02_microscale_topology_12.png,1,DGL_Lecture_1_Annotated.pdf,2,graph example,"Various graph structures illustrating different topologies including modular graphs, star-like graphs, and highly connected core structures",mixed,0.950,"[55.0,807.5,330.0,945.0]"
DGL-G0033,mesoscale topology,l01_p02_microscale_topology_12.png,1,DGL_Lecture_1_Annotated.pdf,2,graph example,"Various graph structures illustrating different topologies including modular graphs, star-like graphs, and highly connected core structures",mixed,0.950,"[55.0,807.5,330.0,945.0]"
DGL-G0033,star-like graphs,l01_p02_microscale_topology_12.png,1,DGL_Lecture_1_Annotated.pdf,2,graph example,"Various graph structures illustrating different topologies including modular graphs, star-like graphs, and highly connected core structures",mixed,0.950,"[55.0,807.5,330.0,945.0]"
DGL-G0033,highly connected core structure,l01_p02_microscale_topology_12.png,1,DGL_Lecture_1_Annotated.pdf,2,graph example,"Various graph structures illustrating different topologies including modular graphs, star-like graphs, and highly connected core structures",mixed,0.950,"[55.0,807.5,330.0,945.0]"
DGL-G0034,graph walks,l01_p02_graph_walks_13.png,1,DGL_Lecture_1_Annotated.pdf,2,graph example,Graph illustrating walks of length two from node six,printed,1.000,"[813.0,862.5,879.0,917.5]"
DGL-G0035,graph walks,l01_p02_graph_walks_14.png,1,DGL_Lecture_1_Annotated.pdf,2,graph example,Graph illustrating walks of length two returning to original node,printed,1.000,"[884.5,862.5,950.5,917.5]"
DGL-G0036,eigen decomposition,l01_p02_eigen_decomposition_15.png,1,DGL_Lecture_1_Annotated.pdf,2,diagram,Visual representation of eigenvalue decomposition showing matrix factorization into eigenvalues and eigenvectors,mixed,0.950,"[412.5,890.0,522.5,945.0]"
DGL-G0036,eigenvalues,l01_p02_eigen_decomposition_15.png,1,DGL_Lecture_1_Annotated.pdf,2,diagram,Visual representation of eigenvalue decomposition showing matrix factorization into eigenvalues and eigenvectors,mixed,0.950,"[412.5,890.0,522.5,945.0]"
DGL-G0036,eigenvectors,l01_p02_eigen_decomposition_15.png,1,DGL_Lecture_1_Annotated.pdf,2,diagram,Visual representation of eigenvalue decomposition showing matrix factorization into eigenvalues and eigenvectors,mixed,0.950,"[412.5,890.0,522.5,945.0]"
DGL-G0037,node classification,l01_p03_node_classification_01.png,1,DGL_Lecture_1_Annotated.pdf,3,diagram,"Diagram illustrating node classification, where a graph neural network produces node embeddings, and the embedding of a specific node (node 4) is used to predict its class label.",mixed,1.000,"[450.0,55.0,719.5,247.5]"
DGL-G0037,node embedding,l01_p03_node_classification_01.png,1,DGL_Lecture_1_Annotated.pdf,3,diagram,"Diagram illustrating node classification, where a graph neural network produces node embeddings, and the embedding of a specific node (node 4) is used to predict its class label.",mixed,1.000,"[450.0,55.0,719.5,247.5]"
DGL-G0037,graph neural network,l01_p03_node_classification_01.png,1,DGL_Lecture_1_Annotated.pdf,3,diagram,"Diagram illustrating node classification, where a graph neural network produces node embeddings, and the embedding of a specific node (node 4) is used to predict its class label.",mixed,1.000,"[450.0,55.0,719.5,247.5]"
DGL-G0038,edge prediction,l01_p03_edge_prediction_02.png,1,DGL_Lecture_1_Annotated.pdf,3,diagram,"Diagram illustrating edge prediction, where a graph neural network produces node embeddings, and the embeddings of two adjacent nodes (1 and 2) are used to predict the presence of an edge between them.",mixed,1.000,"[730.5,55.0,1000.0,247.5]"
DGL-G0038,node embedding,l01_p03_edge_prediction_02.png,1,DGL_Lecture_1_Annotated.pdf,3,diagram,"Diagram illustrating edge prediction, where a graph neural network produces node embeddings, and the embeddings of two adjacent nodes (1 and 2) are used to predict the presence of an edge between them.",mixed,1.000,"[730.5,55.0,1000.0,247.5]"
DGL-G0038,graph neural network,l01_p03_edge_prediction_02.png,1,DGL_Lecture_1_Annotated.pdf,3,diagram,"Diagram illustrating edge prediction, where a graph neural network produces node embeddings, and the embeddings of two adjacent nodes (1 and 2) are used to predict the presence of an edge between them.",mixed,1.000,"[730.5,55.0,1000.0,247.5]"
DGL-G0038,dot product,l01_p03_edge_prediction_02.png,1,DGL_Lecture_1_Annotated.pdf,3,diagram,"Diagram illustrating edge prediction, where a graph neural network produces node embeddings, and the embeddings of two adjacent nodes (1 and 2) are used to predict the presence of an edge between them.",mixed,1.000,"[730.5,55.0,1000.0,247.5]"
DGL-G0039,graph classification,l01_p03_graph_classification_03.png,1,DGL_Lecture_1_Annotated.pdf,3,graph example,"Diagram showing a graph with 6 nodes and input features being processed by a Graph Neural Network to produce a single classification vector (Class 1, 2, 3 probabilities).",mixed,1.000,"[0.0,82.5,275.0,220.0]"
DGL-G0039,graph neural network,l01_p03_graph_classification_03.png,1,DGL_Lecture_1_Annotated.pdf,3,graph example,"Diagram showing a graph with 6 nodes and input features being processed by a Graph Neural Network to produce a single classification vector (Class 1, 2, 3 probabilities).",mixed,1.000,"[0.0,82.5,275.0,220.0]"
DGL-G0040,node classification,l01_p03_node_classification_04.png,1,DGL_Lecture_1_Annotated.pdf,3,graph example,"Diagram showing a graph where a specific node (node 4) is highlighted, and the network outputs an embedding/classification for that specific node.",mixed,1.000,"[275.0,82.5,550.0,220.0]"
DGL-G0040,graph neural network,l01_p03_node_classification_04.png,1,DGL_Lecture_1_Annotated.pdf,3,graph example,"Diagram showing a graph where a specific node (node 4) is highlighted, and the network outputs an embedding/classification for that specific node.",mixed,1.000,"[275.0,82.5,550.0,220.0]"
DGL-G0041,average pooling,l01_p03_average_pooling_05.png,1,DGL_Lecture_1_Annotated.pdf,3,matrix,Visual breakdown of the matrix multiplication for pooling: Learned weights ($1 \times D$) multiplied by Node Embeddings matrix ($D \times N$) multiplied by a '1' vector ($N \times 1$) scaled by $1/N$.,mixed,0.950,"[0.0,330.0,275.0,495.0]"
DGL-G0041,node embedding,l01_p03_average_pooling_05.png,1,DGL_Lecture_1_Annotated.pdf,3,matrix,Visual breakdown of the matrix multiplication for pooling: Learned weights ($1 \times D$) multiplied by Node Embeddings matrix ($D \times N$) multiplied by a '1' vector ($N \times 1$) scaled by $1/N$.,mixed,0.950,"[0.0,330.0,275.0,495.0]"
DGL-G0041,learned weights,l01_p03_average_pooling_05.png,1,DGL_Lecture_1_Annotated.pdf,3,matrix,Visual breakdown of the matrix multiplication for pooling: Learned weights ($1 \times D$) multiplied by Node Embeddings matrix ($D \times N$) multiplied by a '1' vector ($N \times 1$) scaled by $1/N$.,mixed,0.950,"[0.0,330.0,275.0,495.0]"
DGL-G0042,logistic activation,l01_p03_logistic_activation_06.png,1,DGL_Lecture_1_Annotated.pdf,3,plot,Plot of the logistic activation (sigmoid) function showing the smooth transition from 0 to 1,printed,1.000,"[5.5,560.0,137.5,642.5]"
DGL-G0043,logistic activation,l01_p03_logistic_activation_07.png,1,DGL_Lecture_1_Annotated.pdf,3,plot,Plot of the derivative of the logistic activation function,printed,1.000,"[5.5,648.0,137.5,730.5]"
DGL-G0044,node classification,l01_p03_node_classification_08.png,1,DGL_Lecture_1_Annotated.pdf,3,graph example,"A hand-drawn graph with nodes and edges illustrating different prediction tasks: link prediction (dotted edge), node-level tasks (colored node), and graph-level tasks (enclosing boundary).",handwritten,0.950,"[505.0,725.0,780.0,917.5]"
DGL-G0044,edge prediction,l01_p03_node_classification_08.png,1,DGL_Lecture_1_Annotated.pdf,3,graph example,"A hand-drawn graph with nodes and edges illustrating different prediction tasks: link prediction (dotted edge), node-level tasks (colored node), and graph-level tasks (enclosing boundary).",handwritten,0.950,"[505.0,725.0,780.0,917.5]"
DGL-G0044,graph classification,l01_p03_node_classification_08.png,1,DGL_Lecture_1_Annotated.pdf,3,graph example,"A hand-drawn graph with nodes and edges illustrating different prediction tasks: link prediction (dotted edge), node-level tasks (colored node), and graph-level tasks (enclosing boundary).",handwritten,0.950,"[505.0,725.0,780.0,917.5]"
DGL-G0045,single regression model,l02_p01_single_regression_model_01.png,2,DGL_Lecture_2_Annotated.pdf,1,diagram,"Matrix multiplication diagram for single regression model showing feature matrix, weight vector, and output vector",mixed,0.900,"[604.0,121.0,752.5,209.0]"
DGL-G0045,weights,l02_p01_single_regression_model_01.png,2,DGL_Lecture_2_Annotated.pdf,1,diagram,"Matrix multiplication diagram for single regression model showing feature matrix, weight vector, and output vector",mixed,0.900,"[604.0,121.0,752.5,209.0]"
DGL-G0046,multi-regression models,l02_p01_multi_regression_models_02.png,2,DGL_Lecture_2_Annotated.pdf,1,diagram,"Matrix multiplication diagram for multi-regression models showing feature matrix, weight matrix, and output matrix",mixed,0.900,"[780.0,121.0,972.5,209.0]"
DGL-G0046,weights,l02_p01_multi_regression_models_02.png,2,DGL_Lecture_2_Annotated.pdf,1,diagram,"Matrix multiplication diagram for multi-regression models showing feature matrix, weight matrix, and output matrix",mixed,0.900,"[780.0,121.0,972.5,209.0]"
DGL-G0047,feature representation,l02_p01_feature_representation_03.png,2,DGL_Lecture_2_Annotated.pdf,1,diagram,"Flowchart showing ML pipeline from hand-crafted features to feature selection, feature transformation, and then branching into classification and regression tasks, with further breakdown into fixed/prior and learnable methods.",handwritten,0.950,"[55.0,275.0,522.5,550.0]"
DGL-G0047,hand-crafted features,l02_p01_feature_representation_03.png,2,DGL_Lecture_2_Annotated.pdf,1,diagram,"Flowchart showing ML pipeline from hand-crafted features to feature selection, feature transformation, and then branching into classification and regression tasks, with further breakdown into fixed/prior and learnable methods.",handwritten,0.950,"[55.0,275.0,522.5,550.0]"
DGL-G0047,feature selection,l02_p01_feature_representation_03.png,2,DGL_Lecture_2_Annotated.pdf,1,diagram,"Flowchart showing ML pipeline from hand-crafted features to feature selection, feature transformation, and then branching into classification and regression tasks, with further breakdown into fixed/prior and learnable methods.",handwritten,0.950,"[55.0,275.0,522.5,550.0]"
DGL-G0047,representation learning,l02_p01_feature_representation_03.png,2,DGL_Lecture_2_Annotated.pdf,1,diagram,"Flowchart showing ML pipeline from hand-crafted features to feature selection, feature transformation, and then branching into classification and regression tasks, with further breakdown into fixed/prior and learnable methods.",handwritten,0.950,"[55.0,275.0,522.5,550.0]"
DGL-G0047,classification,l02_p01_feature_representation_03.png,2,DGL_Lecture_2_Annotated.pdf,1,diagram,"Flowchart showing ML pipeline from hand-crafted features to feature selection, feature transformation, and then branching into classification and regression tasks, with further breakdown into fixed/prior and learnable methods.",handwritten,0.950,"[55.0,275.0,522.5,550.0]"
DGL-G0047,regression,l02_p01_feature_representation_03.png,2,DGL_Lecture_2_Annotated.pdf,1,diagram,"Flowchart showing ML pipeline from hand-crafted features to feature selection, feature transformation, and then branching into classification and regression tasks, with further breakdown into fixed/prior and learnable methods.",handwritten,0.950,"[55.0,275.0,522.5,550.0]"
DGL-G0047,fixed prior,l02_p01_feature_representation_03.png,2,DGL_Lecture_2_Annotated.pdf,1,diagram,"Flowchart showing ML pipeline from hand-crafted features to feature selection, feature transformation, and then branching into classification and regression tasks, with further breakdown into fixed/prior and learnable methods.",handwritten,0.950,"[55.0,275.0,522.5,550.0]"
DGL-G0047,optimal subspace,l02_p01_feature_representation_03.png,2,DGL_Lecture_2_Annotated.pdf,1,diagram,"Flowchart showing ML pipeline from hand-crafted features to feature selection, feature transformation, and then branching into classification and regression tasks, with further breakdown into fixed/prior and learnable methods.",handwritten,0.950,"[55.0,275.0,522.5,550.0]"
DGL-G0048,single layer linear network,l02_p01_single_layer_linear_network_04.png,2,DGL_Lecture_2_Annotated.pdf,1,diagram,"Neural network diagram for single layer linear network with single output showing input features, weights, summation, and output",mixed,0.900,"[604.0,308.0,752.5,407.0]"
DGL-G0048,weights,l02_p01_single_layer_linear_network_04.png,2,DGL_Lecture_2_Annotated.pdf,1,diagram,"Neural network diagram for single layer linear network with single output showing input features, weights, summation, and output",mixed,0.900,"[604.0,308.0,752.5,407.0]"
DGL-G0048,linear aggregation,l02_p01_single_layer_linear_network_04.png,2,DGL_Lecture_2_Annotated.pdf,1,diagram,"Neural network diagram for single layer linear network with single output showing input features, weights, summation, and output",mixed,0.900,"[604.0,308.0,752.5,407.0]"
