part_concept,whole_concept
steplength,diminishing steplength rules
cost function,random search
random sampling,random search
uniform sampling,random search
initial point,random search
diminishing steplength rules,random search
steplength,random search
convergence criterion,random search
cost function,coordinate descent
initial point,coordinate descent
diminishing steplength rules,coordinate descent
coordinate search,coordinate descent
steplength,coordinate descent
convergence criterion,coordinate descent
gradient,first order optimization methods
automatic differentiation,first order optimization methods
chain rule,first order optimization methods
first order taylor series approximation,first order optimization methods
cost function,gradient descent
descent direction,gradient descent
initial point,gradient descent
diminishing steplength rules,gradient descent
steplength,gradient descent
gradient,gradient descent
first order taylor series approximation,gradient descent
convergence criterion,gradient descent
backtracking line search,gradient descent
partial derivative,gradient
chain rule,automatic differentiation
partial derivative,automatic differentiation
gradient,first order taylor series approximation
gradient,stationary points
first order system of equations,stationary points
partial derivative,first order system of equations
normal equations,closed form solution
positive semi-definite matrix,convex quadratic function
quadratic function,convex quadratic function
cost function,momentum accelerated gradient descent
descent direction,momentum accelerated gradient descent
initial point,momentum accelerated gradient descent
steplength,momentum accelerated gradient descent
gradient descent,momentum accelerated gradient descent
gradient,momentum accelerated gradient descent
convergence criterion,momentum accelerated gradient descent
cost function,normalized gradient descent
descent direction,normalized gradient descent
initial point,normalized gradient descent
steplength,normalized gradient descent
gradient descent,normalized gradient descent
gradient,normalized gradient descent
convergence criterion,normalized gradient descent
curvature,second order optimality condition
positive semi-definite matrix,second order optimality condition
eigenvalues of the hessian,second order optimality condition
first order condition for optimality,second order optimality condition
hessian matrix,second order optimality condition
eigenvalue decomposition,second order optimality condition
gradient,second order taylor series approximation
first order taylor series approximation,second order taylor series approximation
curvature,second order taylor series approximation
hessian matrix,second order taylor series approximation
second order definition of convexity,convexity
eigenvalues of the hessian,curvature
hessian matrix,curvature
eigenvalue decomposition,curvature
non-negative eigenvalues,positive semi-definite matrix
eigenvalue decomposition,eigenvalues of the hessian
gradient,first order condition for optimality
first order system of equations,first order condition for optimality
cost function,newton's method
descent direction,newton's method
initial point,newton's method
steplength,newton's method
gradient,newton's method
symmetric linear system,newton's method
second order taylor series approximation,newton's method
convergence criterion,newton's method
hessian matrix,newton's method
backtracking line search,newton's method
cost function,regularized newton's method
descent direction,regularized newton's method
initial point,regularized newton's method
steplength,regularized newton's method
gradient,regularized newton's method
symmetric linear system,regularized newton's method
newton's method,regularized newton's method
convergence criterion,regularized newton's method
hessian matrix,regularized newton's method
backtracking line search,regularized newton's method
regularization parameter,regularized newton's method
regularizer,regularized newton's method
convergence,convergence criterion
gradient,second order optimization
second order optimality condition,second order optimization
second order taylor series approximation,second order optimization
hessian matrix,second order optimization
hessian of softmax cost,second order optimization
gradient,hessian-free optimization
automatic differentiation,hessian-free optimization
positive semi-definite matrix,second order definition of convexity
eigenvalues of the hessian,second order definition of convexity
hessian matrix,second order definition of convexity
non-negative eigenvalues,second order definition of convexity
gradient,sub-sampled newton's step
hessian matrix,sub-sampled newton's step
cost function,bfgs method
descent direction,bfgs method
initial point,bfgs method
steplength,bfgs method
gradient,bfgs method
convergence criterion,bfgs method
secant method,bfgs method
sherman-morrison identity,bfgs method
backtracking line search,bfgs method
cost function,quasi-newton method
descent direction,quasi-newton method
initial point,quasi-newton method
steplength,quasi-newton method
gradient,quasi-newton method
convergence criterion,quasi-newton method
secant method,quasi-newton method
backtracking line search,quasi-newton method
point-wise cost,least absolute deviations
point-wise cost,least squares cost function
gradient,normal equations
symmetric linear system,normal equations
least squares cost function,normal equations
normalization,standard normalization
quadratic function,quadratic cost function
inner product,quadratic cost function
outer product,quadratic cost function
rectified linear unit,perceptron cost
point-wise cost,perceptron cost
softmax approximation to max,softmax cost
point-wise cost,softmax cost
early stopping,regularization
regularization parameter,regularization
l2 regularizer,regularization
regularizer,regularization
normal vector to hyperplane,signed distance to decision boundary
decision boundary,signed distance to decision boundary
normalization,weight normalization
regularization parameter,l2 regularizer
softmax cost,regularized softmax cost
regularization parameter,regularized softmax cost
l2 regularizer,regularized softmax cost
softmax cost function,regularized softmax cost
softmax cost,constrained softmax cost
weight normalization,constrained softmax cost
softmax cost function,constrained softmax cost
perceptron cost,margin-perceptron cost
point-wise cost,margin-perceptron cost
margin of separating hyperplane,margin-perceptron cost
softmax approximation to max,smoothed margin-perceptron
margin-perceptron cost,smoothed margin-perceptron
margin of separating hyperplane,maximum margin decision boundary
margin of separating hyperplane,hard-margin svm
maximum margin decision boundary,hard-margin svm
support vectors,hard-margin svm
decision boundary,hard-margin svm
normal vector to hyperplane,margin computation via normal vector
regularization parameter,soft-margin support vector machine
l2 regularizer,soft-margin support vector machine
margin-perceptron cost,soft-margin support vector machine
support vectors,soft-margin support vector machine
decision boundary,soft-margin support vector machine
softmax approximation to max,categorical cross entropy cost
point-wise cost,categorical cross entropy cost
one-hot encoded labels,categorical cross entropy cost
log error cost,categorical cross entropy cost
categorical labels,one-hot encoded labels
misclassification count,classification accuracy
misclassification,misclassification count
validation set,early stopping by validation accuracy
early stopping,early stopping by validation accuracy
classification accuracy,early stopping by validation accuracy
confusion matrix,balanced accuracy
misclassification count,confusion matrix
confusion matrix,precision
weighted softmax cost,weighted classification
point-wise weights,weighted classification
weighting by confidence,weighted classification
inverse class frequency weighting,weighted classification
point-wise cost,weighted softmax cost
softmax cost,weighted softmax cost
point-wise weights,weighted softmax cost
softmax cost function,weighted softmax cost
weighting by confidence,point-wise weights
inverse class frequency weighting,point-wise weights
categorical cross entropy cost,linear multi-class classification
confidence scoring,linear multi-class classification
multi-class perceptron,linear multi-class classification
one-versus-all classification,linear multi-class classification
fusion rule,linear multi-class classification
softmax cost function,linear multi-class classification
multi-class perceptron cost,linear multi-class classification
categorical labels,linear multi-class classification
decision boundary,linear multi-class classification
multi-class perceptron cost,multi-class perceptron
categorical cross entropy cost,categorical multi-class classification
one-hot encoded labels,categorical multi-class classification
categorical labels,categorical multi-class classification
weighted softmax cost,weighted multi-class classification
point-wise weights,weighted multi-class classification
weighting by confidence,weighted multi-class classification
inverse class frequency weighting,weighted multi-class classification
fusion rule,one-versus-all classification
piecewise linear decision boundary,one-versus-all classification
confidence scoring,fusion rule
piecewise linear decision boundary,fusion rule
training set,mini-batch gradient descent
cost function,mini-batch gradient descent
initial point,mini-batch gradient descent
diminishing steplength rules,mini-batch gradient descent
steplength,mini-batch gradient descent
gradient descent,mini-batch gradient descent
convergence criterion,mini-batch gradient descent
batch size,mini-batch gradient descent
point-wise cost,softmax cost function
one-hot encoded labels,softmax cost function
categorical labels,softmax cost function
hessian of softmax cost,softmax cost function
perceptron cost,multi-class perceptron cost
point-wise cost,multi-class perceptron cost
categorical labels,multi-class perceptron cost
classification accuracy,multi-class classification metrics
misclassification count,multi-class classification metrics
balanced accuracy,multi-class classification metrics
confusion matrix,multi-class classification metrics
precision,multi-class classification metrics
hessian matrix,hessian of softmax cost
inner product,orthonormal spanning set
encoder-decoder composition,autoencoder formula
inner product,projection
orthonormal spanning set,projection
orthogonal matrix,projection
mean-centering,linear autoencoder
orthonormal spanning set,linear autoencoder
autoencoder formula,linear autoencoder
projection,linear autoencoder
pca least squares cost,linear autoencoder
encoder-decoder composition,linear autoencoder
weight matrix,linear autoencoder
eigenvalue decomposition,principal component analysis
eigenvalues,principal component analysis
mean-centering,principal component analysis
orthonormal spanning set,principal component analysis
projection,principal component analysis
covariance matrix regularization,principal component analysis
scree plot,principal component analysis
pca least squares cost,principal component analysis
orthogonal matrix,principal component analysis
variance maximization,principal component analysis
projection,dimension reduction
linear autoencoder,dimension reduction
principal component analysis,dimension reduction
matrix factorization,dimension reduction
non-negative matrix factorization,dimension reduction
sparse coding,dimension reduction
feature selection,dimension reduction
kernel pca,dimension reduction
sparse feature selection,dimension reduction
regularization,covariance matrix regularization
regularization parameter,covariance matrix regularization
regularizer,covariance matrix regularization
least squares cost function,k-means clustering
cluster centroid,k-means clustering
cluster assignment,k-means clustering
centroid initialization,k-means clustering
intra-cluster distance,k-means clustering
alternating minimization,k-means clustering
least squares cost for incomplete data,matrix factorization
alternating minimization,matrix factorization
bi-convex function,matrix factorization
weight matrix,matrix factorization
cluster centroid,cluster assignment
intra-cluster distance,cluster assignment
standard basis vector constraint,cluster assignment
random sampling,centroid initialization
eigenvalues,scree plot
matrix factorization,non-negative matrix factorization
alternating minimization,non-negative matrix factorization
regularization parameter,sparse coding
matrix factorization,sparse coding
alternating minimization,sparse coding
regularizer,sparse coding
discriminative features,feature selection
sparse feature selection,feature selection
sequential refinement,boosting
regression tree,boosting
addition of trees,boosting
tree-based learner,boosting
residual fitting,boosting
edge histogram features,histogram features
inner product,inner product similarity
normalization,inner product similarity
transformed feature space,nonlinear feature engineering
feature sharing,nonlinear feature engineering
degree two polynomial expansion,nonlinear feature engineering
nonlinear feature engineering,nonlinear regression
output transformation,nonlinear regression
linear combination,nonlinear regression
degree two polynomial expansion,transformed feature space
nonlinear feature engineering,nonlinear classification
decision boundary,nonlinear classification
projection,kernel pca
principal component analysis,kernel pca
kernel trick,kernel pca
kernel matrix,kernel pca
least squares cost function,kernel k-means
k-means clustering,kernel k-means
cluster assignment,kernel k-means
centroid initialization,kernel k-means
intra-cluster distance,kernel k-means
alternating minimization,kernel k-means
standard basis vector constraint,kernel k-means
kernel trick,kernel k-means
kernel matrix,kernel k-means
linear autoencoder,feature learning
matrix factorization,feature learning
sparse coding,feature learning
feature sharing,feature learning
encoder-decoder composition,feature learning
nonlinear feature engineering,universal approximators
linear combination,universal approximators
bias,linear combination
feature,linear combination
feature-touching weights,linear combination
inner product,linear combination
cost function,regularized cost function
regularization parameter,regularized cost function
l2 regularizer,regularized cost function
regularizer,regularized cost function
model training,l2 regularization based cross-validation
cross-validation,l2 regularization based cross-validation
regularization parameter,l2 regularization based cross-validation
l2 regularizer,l2 regularization based cross-validation
validation error,l2 regularization based cross-validation
regularized cost function,l2 regularization based cross-validation
addition of trees,ensembling
training set,k-folds cross-validation
model training,k-folds cross-validation
validation set,k-folds cross-validation
cross-validation,k-folds cross-validation
validation error,k-folds cross-validation
linear combination,fixed-shape universal approximators
fourier basis,fixed-shape universal approximators
complete package of fixed-shape units,fixed-shape universal approximators
weight vector decomposition over feature matrix,kernel trick
orthogonal component r,kernel trick
kernel matrix,kernel trick
kernelization via weight vector substitution,kernel trick
orthogonal component r,weight vector decomposition over feature matrix
inner product,kernel matrix
entry-wise kernel matrix construction,kernel matrix
polynomial kernel,kernel matrix
fourier kernel,kernel matrix
weight vector decomposition over feature matrix,kernelization via weight vector substitution
orthogonal component r,kernelization via weight vector substitution
least squares cost function,kernelized least squares
regularization parameter,kernelized least squares
regularized cost function,kernelized least squares
kernel trick,kernelized least squares
kernel matrix,kernelized least squares
kernelized l2 regularizer,kernelized least squares
regularization parameter,kernelized logistic regression
one-hot encoded labels,kernelized logistic regression
softmax cost function,kernelized logistic regression
categorical labels,kernelized logistic regression
regularized cost function,kernelized logistic regression
kernel trick,kernelized logistic regression
kernel matrix,kernelized logistic regression
kernelized l2 regularizer,kernelized logistic regression
polynomial kernel,entry-wise kernel matrix construction
fourier kernel,entry-wise kernel matrix construction
regularization parameter,kernelized l2 regularizer
l2 regularizer,kernelized l2 regularizer
kernel matrix,kernelized l2 regularizer
regularization parameter,kernelized squared margin
margin-perceptron cost,kernelized squared margin
soft-margin support vector machine,kernelized squared margin
kernel trick,kernelized squared margin
kernel matrix,kernelized squared margin
kernelized l2 regularizer,kernelized squared margin
one-hot encoded labels,kernelized multi-class softmax
softmax cost function,kernelized multi-class softmax
categorical labels,kernelized multi-class softmax
kernel trick,kernelized multi-class softmax
kernel matrix,kernelized multi-class softmax
kernelized l2 regularizer,kernelized multi-class softmax
model training,naive cross-validation
cross-validation,naive cross-validation
model training,regularization-based cross-validation
cross-validation,regularization-based cross-validation
regularization,regularization-based cross-validation
regularization parameter,regularization-based cross-validation
validation error,regularization-based cross-validation
regularized cost function,regularization-based cross-validation
model parameters,fully-connected neural network
bias,fully-connected neural network
linear combination,fully-connected neural network
activation function,fully-connected neural network
single-layer unit,fully-connected neural network
recursive construction,fully-connected neural network
hidden layer,fully-connected neural network
neural network architecture,fully-connected neural network
input layer,fully-connected neural network
output layer,fully-connected neural network
weight matrix,fully-connected neural network
vector activation,fully-connected neural network
two-layer unit,fully-connected neural network
batch normalization,fully-connected neural network
bias,single-layer unit
feature,single-layer unit
linear combination,single-layer unit
activation function,single-layer unit
weight matrix,single-layer unit
bias,hidden layer
linear combination,hidden layer
activation function,hidden layer
single-layer unit,hidden layer
weight matrix,hidden layer
vector activation,hidden layer
batch normalization,hidden layer
activation function,neural network architecture
single-layer unit,neural network architecture
recursive construction,neural network architecture
hidden layer,neural network architecture
input layer,neural network architecture
output layer,neural network architecture
weight matrix,neural network architecture
vector activation,neural network architecture
two-layer unit,neural network architecture
batch normalization,neural network architecture
feature space,input layer
feature,input layer
bias,output layer
linear combination,output layer
activation function,output layer
weight matrix,output layer
vector activation,output layer
activation function,vector activation
bias,two-layer unit
linear combination,two-layer unit
activation function,two-layer unit
single-layer unit,two-layer unit
recursive construction,two-layer unit
hidden layer,two-layer unit
output layer,two-layer unit
weight matrix,two-layer unit
cost function,backpropagation
gradient,backpropagation
automatic differentiation,backpropagation
chain rule,backpropagation
standard normalization,batch normalization
mean-centering,batch normalization
normalization,batch normalization
split point,stump
leaf parameters,stump
local function approximator,stump
mid-point split point,stump
candidate split points,stump
optimal leaf values,stump
leaf-value optimization,stump
random sampling,bagging
regression tree,bagging
tree-based learner,bagging
mode,bagging
classification trees,bagging
cost function,growing of a tree
minimization,growing of a tree
staircase-like cost,growing of a tree
candidate split points,growing of a tree
optimal leaf values,growing of a tree
leaf-value optimization,growing of a tree
recursively defined trees,growing of a tree
split point,regression tree
stump,regression tree
leaf parameters,regression tree
growing of a tree,regression tree
local function approximator,regression tree
mid-point split point,regression tree
candidate split points,regression tree
optimal leaf values,regression tree
leaf-value optimization,regression tree
recursively defined trees,regression tree
pruning,regression tree
residual fitting,addition of trees
split point,candidate split points
mid-point split point,candidate split points
least squares cost function,leaf-value optimization
misclassification count,leaf-value optimization
leaf parameters,leaf-value optimization
optimal leaf values,leaf-value optimization
mode,leaf-value optimization
split point,tree-based learner
stump,tree-based learner
leaf parameters,tree-based learner
growing of a tree,tree-based learner
local function approximator,tree-based learner
mid-point split point,tree-based learner
candidate split points,tree-based learner
optimal leaf values,tree-based learner
leaf-value optimization,tree-based learner
recursively defined trees,tree-based learner
pruning,tree-based learner
random sampling,feature subsampling
feature,feature subsampling
split point,recursively defined trees
stump,recursively defined trees
leaf parameters,recursively defined trees
sequential refinement,gradient boosting
gradient,gradient boosting
boosting,gradient boosting
growing of a tree,gradient boosting
regression tree,gradient boosting
addition of trees,gradient boosting
leaf-value optimization,gradient boosting
tree-based learner,gradient boosting
residual fitting,gradient boosting
random sampling,random forests
bagging,random forests
growing of a tree,random forests
regression tree,random forests
candidate split points,random forests
tree-based learner,random forests
feature subsampling,random forests
mode,random forests
classification trees,random forests
split point,classification trees
stump,classification trees
leaf parameters,classification trees
growing of a tree,classification trees
local function approximator,classification trees
mid-point split point,classification trees
candidate split points,classification trees
optimal leaf values,classification trees
leaf-value optimization,classification trees
recursively defined trees,classification trees
mode,classification trees
pruning,classification trees
