concept,file_name,chapter,pdf_page,book_page,figure_label,caption
mathematical optimization,ch01_cost_function_figure_1_16_p36.png,1,36,28,Figure 1.16,"(top panels) A figurative drawing of the two-dimensional cost function associated with learning the slope and intercept parameters of a linear model for the share price regression problem discussed in the previous Section and shown in Figure 1.7. Also shown here are two different sets of parameter values, one (left) at the minimum of the cost function and the other (right) at a point with larger cost function value. (bottom panels) The linear model corresponding to each set of parameters in the top panel. The set of parameters resulting in the best fit are found at the minimum of the cost surface."
minimization,ch01_cost_function_figure_1_16_p36.png,1,36,28,Figure 1.16,"(top panels) A figurative drawing of the two-dimensional cost function associated with learning the slope and intercept parameters of a linear model for the share price regression problem discussed in the previous Section and shown in Figure 1.7. Also shown here are two different sets of parameter values, one (left) at the minimum of the cost function and the other (right) at a point with larger cost function value. (bottom panels) The linear model corresponding to each set of parameters in the top panel. The set of parameters resulting in the best fit are found at the minimum of the cost surface."
model parameters,ch01_cost_function_figure_1_16_p36.png,1,36,28,Figure 1.16,"(top panels) A figurative drawing of the two-dimensional cost function associated with learning the slope and intercept parameters of a linear model for the share price regression problem discussed in the previous Section and shown in Figure 1.7. Also shown here are two different sets of parameter values, one (left) at the minimum of the cost function and the other (right) at a point with larger cost function value. (bottom panels) The linear model corresponding to each set of parameters in the top panel. The set of parameters resulting in the best fit are found at the minimum of the cost surface."
minimization,ch01_minimization_figure_1_17_p37.png,1,37,29,Figure 1.17,"(top panels) A figurative drawing of the two-dimensional cost function associated with learning the slope and intercept parameters of a linear model separating two classes of the toy dataset first shown in Figure 1.10. Also shown here are two different sets of parameter values, one (left) corresponding to the minimum of the cost function and the other (right) corresponding to a point with larger cost function value. (bottom panels) The linear classifiers corresponding to each set of parameters in the top panels. The optimal set of parameters, i.e., those giving the minimum value of the associated cost function, allow for the best separation between the two classes."
zero order optimization,ch02_zero_order_optimization_figure_2_1_p42.png,2,42,34,Figure 2.1,Figure 2.1 Figure associated with Example 2.1. Four example functions with the evaluation of their minima and maxima highlighted by green dots. See text for further details.
random sampling,ch02_random_sampling_figure_2_2_p46_2.png,2,46,38,Figure 2.2,"Figures associated with Example 2.2. Minimizing a simple function via sampling - or 'guessing'. (top row) Sampling the input of a function 4 times evenly (left panel) and at random (right panel). Here the inputs chosen are shown as blue dots, and their evaluations by the function are shown as green dots. (bottom row) Sampling evenly (left panel) and randomly (right panel) 20 times. The more samples we take, the more likely we are to find a point close to the global minimum using either sampling approach. See text for further details."
uniform sampling,ch02_random_sampling_figure_2_2_p46_2.png,2,46,38,Figure 2.2,"Figures associated with Example 2.2. Minimizing a simple function via sampling - or 'guessing'. (top row) Sampling the input of a function 4 times evenly (left panel) and at random (right panel). Here the inputs chosen are shown as blue dots, and their evaluations by the function are shown as green dots. (bottom row) Sampling evenly (left panel) and randomly (right panel) 20 times. The more samples we take, the more likely we are to find a point close to the global minimum using either sampling approach. See text for further details."
curse of dimensionality,ch02_curse_of_dimensionality_figure_2_3_p47_2.png,2,47,39,Figure 2.3,"(top row) The number of input points we must sample uniformly if we wish each to be a distance of d from its neighbors grows exponentially as the input dimension of a function increases. If 3 points are used to cover a single-input space in this way (left panel), 32 = 9 points are required in two dimensions, and 33 = 27 points in three dimensions (and this trend continues). Sampling randomly (bottom row) does not solve the problem. See text for further details."
initial point,ch02_initial_point_figure_2_4_p49_2.png,2,49,41,Figure 2.4,"Local optimization methods work by minimizing a target function in a sequence of steps. Shown here is a generic local optimization method applied to minimize a single-input function. Starting with the initial point w0, we move towards lower points on the cost function like a ball rolling downhill."
local optimization,ch02_initial_point_figure_2_4_p49_2.png,2,49,41,Figure 2.4,"Local optimization methods work by minimizing a target function in a sequence of steps. Shown here is a generic local optimization method applied to minimize a single-input function. Starting with the initial point w0, we move towards lower points on the cost function like a ball rolling downhill."
sequential refinement,ch02_initial_point_figure_2_4_p49_2.png,2,49,41,Figure 2.4,"Local optimization methods work by minimizing a target function in a sequence of steps. Shown here is a generic local optimization method applied to minimize a single-input function. Starting with the initial point w0, we move towards lower points on the cost function like a ball rolling downhill."
coordinate descent,ch02_coordinate_descent_figure_2_11_p59_2.png,2,59,51,Figure 2.11,"(left panel) With coordinate search we seek out descent directions only among the coordinates axes: at each step, colored alternately blue and red for better visualization, we try 2N = 4 directions along the N = 2 coordinate axes, and pick the one resulting the largest decrease in the function's evaluation. (right panel) With coordinate descent we (ideally) take a step immediately after examining the positive and negative directions along each coordinate."
coordinate search,ch02_coordinate_descent_figure_2_11_p59_2.png,2,59,51,Figure 2.11,"(left panel) With coordinate search we seek out descent directions only among the coordinates axes: at each step, colored alternately blue and red for better visualization, we try 2N = 4 directions along the N = 2 coordinate axes, and pick the one resulting the largest decrease in the function's evaluation. (right panel) With coordinate descent we (ideally) take a step immediately after examining the positive and negative directions along each coordinate."
first order taylor series approximation,ch03_first_order_taylor_series_approximation_figure_3_1_p67.png,3,67,59,Figure 3.1,"The first order optimality condition characterizes points where the derivative or gradient of a function equals zero, or likewise where the line or hyperplane tangent to a function has 'zero slope' (or is completely horizontal and parallel to the input space). With a simple convex quadratic this condition identifies the global minimum of the function - illustrated here with a single-input (left panel) and multi-input (right panel) quadratic function."
global minimum,ch03_first_order_taylor_series_approximation_figure_3_1_p67.png,3,67,59,Figure 3.1,"The first order optimality condition characterizes points where the derivative or gradient of a function equals zero, or likewise where the line or hyperplane tangent to a function has 'zero slope' (or is completely horizontal and parallel to the input space). With a simple convex quadratic this condition identifies the global minimum of the function - illustrated here with a single-input (left panel) and multi-input (right panel) quadratic function."
local minimum,ch03_local_minimum_figure_3_2_p69.png,3,69,61,Figure 3.2,"Figure 3.2 Figure for Example 3.1. From left to right the functions g(w) = sin(2w), w3, and sin (3w) + 0.3w2 are shown along with their derivatives in the bottom row. See text for further details."
saddle points,ch03_local_minimum_figure_3_2_p69.png,3,69,61,Figure 3.2,"Figure 3.2 Figure for Example 3.1. From left to right the functions g(w) = sin(2w), w3, and sin (3w) + 0.3w2 are shown along with their derivatives in the bottom row. See text for further details."
stationary points,ch03_local_minimum_figure_3_2_p69.png,3,69,61,Figure 3.2,"Figure 3.2 Figure for Example 3.1. From left to right the functions g(w) = sin(2w), w3, and sin (3w) + 0.3w2 are shown along with their derivatives in the bottom row. See text for further details."
coordinate descent,ch03_coordinate_descent_figure_3_4_p73.png,3,73,65,Figure 3.4,Figure associated with Example 3.5
convexity,ch04_convexity_figure_4_1_p103.png,4,103,95,Figure 4.1,"Figure associated with Example 4.1. From left to right, plots of functions g (w) = w3, g (w) = ew, g (w) = sin (w), and g (w) = w2."
local minimum,ch04_local_minimum_figure_4_2_p104_2.png,4,104,96,Figure 4.2,"Three single-input functions along with their first and second order derivatives shown in the top, middle, and bottom panels, respectively. See text for further details."
saddle points,ch04_local_minimum_figure_4_2_p104_2.png,4,104,96,Figure 4.2,"Three single-input functions along with their first and second order derivatives shown in the top, middle, and bottom panels, respectively. See text for further details."
stationary points,ch04_local_minimum_figure_4_2_p104_2.png,4,104,96,Figure 4.2,"Three single-input functions along with their first and second order derivatives shown in the top, middle, and bottom panels, respectively. See text for further details."
newton's method,ch04_newton_s_method_figure_4_9_p117.png,4,117,109,Figure 4.9,Figure associated with Example 4.8. See text for details.
bias,ch05_bias_figure_5_1_p128.png,5,128,120,Figure 5.1,"(left panel) A simulated dataset in two dimensions along with a well-fitting line. A line in two dimensions is defined as w0 + xw1 = y, where w0 is referred to as the bias and w1 the slope, and a point xp, yp lies close to it if w0 + xpw1 ≈yp. (right panel) A simulated three dimensional dataset along with a well-fitting hyperplane. A hyperplane in general is defined as w0 + x1w1 + x2w2 + · · · + xNwN = y, where again w0 is the bias and w1, w2, . . . , wN the hyperplane's coordinate-wise slopes, and a point xp, yp lies close to it if w0 + x1,pw1 + x2,pw2 + · · · + xN,pwN ≈yp. Here N = 2."
first order taylor series approximation,ch05_bias_figure_5_1_p128.png,5,128,120,Figure 5.1,"(left panel) A simulated dataset in two dimensions along with a well-fitting line. A line in two dimensions is defined as w0 + xw1 = y, where w0 is referred to as the bias and w1 the slope, and a point xp, yp lies close to it if w0 + xpw1 ≈yp. (right panel) A simulated three dimensional dataset along with a well-fitting hyperplane. A hyperplane in general is defined as w0 + x1w1 + x2w2 + · · · + xNwN = y, where again w0 is the bias and w1, w2, . . . , wN the hyperplane's coordinate-wise slopes, and a point xp, yp lies close to it if w0 + x1,pw1 + x2,pw2 + · · · + xN,pwN ≈yp. Here N = 2."
regression,ch05_bias_figure_5_1_p128.png,5,128,120,Figure 5.1,"(left panel) A simulated dataset in two dimensions along with a well-fitting line. A line in two dimensions is defined as w0 + xw1 = y, where w0 is referred to as the bias and w1 the slope, and a point xp, yp lies close to it if w0 + xpw1 ≈yp. (right panel) A simulated three dimensional dataset along with a well-fitting hyperplane. A hyperplane in general is defined as w0 + x1w1 + x2w2 + · · · + xNwN = y, where again w0 is the bias and w1, w2, . . . , wN the hyperplane's coordinate-wise slopes, and a point xp, yp lies close to it if w0 + x1,pw1 + x2,pw2 + · · · + xN,pwN ≈yp. Here N = 2."
least squares cost function,ch05_least_squares_cost_function_figure_5_2_p130.png,5,130,122,Figure 5.2,"(left panel) A prototypical two dimensional dataset along with a line fit to the data using the Least Squares framework, which aims at recovering the linear model that minimizes the total squared length of the solid error bars. (right panel) The Least Squares error can be thought of as the total area of the blue squares, having solid black error bars as sides. The cost function is called Least Squares because it allows us to determine a set of parameters whose corresponding line minimizes the sum of these square errors."
convexity,ch05_convexity_figure_5_13_p152_2.png,5,152,144,Figure 5.13,"The line segment (shown in orange) connecting two points on the graph of a convex function f always lies above the graph of f. This means that for any point between x and y, which can be characterized by λx + (1 −λ) y for a certain λ ∈(0, 1), λf (x) + (1 −λ) f y is always greater than (or equal to) f λx + (1 −λ) y ."
softmax approximation to max,ch06_softmax_approximation_to_max_figure_6_13_p173.png,6,173,165,Figure 6.13,"Plots of the Perceptron g (s) = max (0, s) (shown in green) as well as its smooth Softmax approximation g (s) = soft (0, s) = log (1 + es) (shown in dashed black)."
numerical instability,ch06_numerical_instability_figure_6_14_p175.png,6,175,167,Figure 6.14,Figure 6.14 (top row) Figure associated with Example 6.6. See text for details.
weight divergence to infinity,ch06_numerical_instability_figure_6_14_p175.png,6,175,167,Figure 6.14,(top row) Figure associated with Example 6.6. See text for details.
normal vector to hyperplane,ch06_normal_vector_to_hyperplane_figure_6_15_p177.png,6,177,169,Figure 6.15,"A linear decision boundary written as b + xTω = 0 has a normal vector ω defined by its feature-touching weights. To compute the signed distance of a point xp to the boundary we mark the translation of the decision boundary passing through this point as b + xTω = β, and the projection of the point onto the decision boundary as x′p."
regularization,ch06_normal_vector_to_hyperplane_figure_6_15_p177.png,6,177,169,Figure 6.15,"A linear decision boundary written as b + xTω = 0 has a normal vector ω defined by its feature-touching weights. To compute the signed distance of a point xp to the boundary we mark the translation of the decision boundary passing through this point as b + xTω = β, and the projection of the point onto the decision boundary as x′p."
signed distance to decision boundary,ch06_signed_distance_to_decision_boundary_figure_6_16_p178.png,6,178,170,Figure 6.16,"Visual representation of the distance to the hyperplane b + xTω, of two points xp and xq lying above it."
regularized softmax cost,ch06_regularized_softmax_cost_figure_6_17_p180.png,6,180,172,Figure 6.17,Figure associated with Example 6.7. See text for details.
margin of separating hyperplane,ch06_margin_of_separating_hyperplane_figure_6_18_p181.png,6,181,173,Figure 6.18,"For linearly separable data the width of the buffer zone (in gray) confined between two evenly spaced translates of a separating hyperplane that just touch each respective class, defines the margin of that separating hyperplane."
maximum margin decision boundary,ch06_maximum_margin_decision_boundary_figure_6_19_p183.png,6,183,175,Figure 6.19,"Infinitely many linear decision boundaries can perfectly separate a dataset like the one shown here, where two linear decision boundaries are shown in green and black. The decision boundary with the maximum margin - here the one shown in black - is intuitively the best choice. See text for further details."
maximum margin decision boundary,ch06_maximum_margin_decision_boundary_figure_6_20_p184.png,6,184,176,Figure 6.20,The margin of a separating hyperplane can be calculated by measuring the distance between the two points of intersection of the normal vector ω and the two equidistant translations of the hyperplane. This distance can be shown to have the value of 2 / ∥ω∥2 (see text for further details).
soft-margin support vector machine,ch06_soft_margin_support_vector_machine_figure_6_21_p186.png,6,186,178,Figure 6.21,Figure associated with Example 6.8. See text for details.
support vectors,ch06_soft_margin_support_vector_machine_figure_6_21_p186.png,6,186,178,Figure 6.21,Figure associated with Example 6.8. See text for details.
cost function versus misclassification discrepancy,ch06_cost_function_versus_misclassification_discrepan_figure_6_23_p193.png,6,193,185,Figure 6.23,Figure associated with Example 6.9. See text for details.
step function approximation,ch06_cost_function_versus_misclassification_discrepan_figure_6_23_p193.png,6,193,185,Figure 6.23,Figure associated with Example 6.9. See text for details.
confusion matrix,ch06_confusion_matrix_figure_6_24_p195.png,6,195,187,Figure 6.24,The confusion matrix can be used to produce additional quality metrics for two-class classification.
weighted classification,ch06_weighted_classification_figure_6_25_p198.png,6,198,190,Figure 6.25,"An example of duplicate entries in a metadata dataset. Here a single input feature of this dataset is plotted along with the labels for each point. There are many duplicates in this slice of the data, which are visually depicted by the radius of each point (the larger the radius, the more duplicates of that point exist in the dataset)."
linear multi-class classification,ch07_linear_multi_class_classification_figure_7_1_p205.png,7,205,197,Figure 7.1,"A prototypical classification dataset with C = 3 classes. Here points with label value yp = 0, yp = 1, and yp = 2 are colored blue, red, and green, respectively."
one-versus-all classification,ch07_linear_multi_class_classification_figure_7_1_p205.png,7,205,197,Figure 7.1,"A prototypical classification dataset with C = 3 classes. Here points with label value yp = 0, yp = 1, and yp = 2 are colored blue, red, and green, respectively."
one-versus-all classification,ch07_one_versus_all_classification_figure_7_2_p206.png,7,206,198,Figure 7.2,(top row) Three one-versus-all linear two-class classifiers learned to the dataset shown in Figure 7.1. (bottom row) All three classifiers shown on top of the original dataset. See text for further details.
fusion rule,ch07_fusion_rule_figure_7_6_p212.png,7,212,204,Figure 7.6,"The result of applying the fusion rule in Equation (7.12) to the input space of our toy dataset, with regions colored according to their predicted label along with the original two-class decision boundaries (left panel) and fused multi-class decision boundary in black (right panel). See text for further details."
piecewise linear decision boundary,ch07_fusion_rule_figure_7_6_p212.png,7,212,204,Figure 7.6,"The result of applying the fusion rule in Equation (7.12) to the input space of our toy dataset, with regions colored according to their predicted label along with the original two-class decision boundaries (left panel) and fused multi-class decision boundary in black (right panel). See text for further details."
mini-batch gradient descent,ch07_mini_batch_gradient_descent_figure_7_18_p234.png,7,234,226,Figure 7.18,"Schematic comparison of first iteration of (top panel) full batch and (bottom) stochastic gradient descent, through the lens of machine learning using (for the sake of simplicity) a small dataset of points. In the full batch sweep we take a step in all points simultaneously, whereas (bottom panel) in the mini-batch approach we sweep through these points sequentially as if we received the data in an online fashion."
batch size,ch07_batch_size_figure_7_19_p235.png,7,235,227,Figure 7.19,Figure associated with Example 7.10. A comparison of the progress made by standard (in black) and mini-batch (in magenta) gradient descent over the MNIST training dataset in terms of cost function value (left panel) and number of misclassifications (right panel). The mini-batch approach makes significantly faster progress than standard gradient descent in both measures.
mini-batch gradient descent,ch07_batch_size_figure_7_19_p235.png,7,235,227,Figure 7.19,Figure associated with Example 7.10. A comparison of the progress made by standard (in black) and mini-batch (in magenta) gradient descent over the MNIST training dataset in terms of cost function value (left panel) and number of misclassifications (right panel). The mini-batch approach makes significantly faster progress than standard gradient descent in both measures.
softmax cost function,ch07_batch_size_figure_7_19_p235.png,7,235,227,Figure 7.19,Figure associated with Example 7.10. A comparison of the progress made by standard (in black) and mini-batch (in magenta) gradient descent over the MNIST training dataset in terms of cost function value (left panel) and number of misclassifications (right panel). The mini-batch approach makes significantly faster progress than standard gradient descent in both measures.
steplength,ch07_batch_size_figure_7_19_p235.png,7,235,227,Figure 7.19,Figure associated with Example 7.10. A comparison of the progress made by standard (in black) and mini-batch (in magenta) gradient descent over the MNIST training dataset in terms of cost function value (left panel) and number of misclassifications (right panel). The mini-batch approach makes significantly faster progress than standard gradient descent in both measures.
spanning set,ch08_spanning_set_figure_8_1_p240.png,8,240,232,Figure 8.1,"Two-dimensional points illustrated as dots (left panel), arrows (middle panel), and a mixture of both (right panel). Those shown as arrows on the right are a basis or spanning set over which we aim to represent every point in the entire space."
projection,ch08_projection_figure_8_3_p244.png,8,244,236,Figure 8.3,"Figure 8.3 (left panel) A dataset of points xp in N = 3 dimensions along with a linear subspace spanned by K = 2 vectors c1 and c2, colored in red. (middle panel) The encoding space spanned by c1 and c2, where our encoded vectors wp live. (right panel) The projected or decoded versions of each data point xp shown in the subspace spanned by C = [c1 c2]. The decoded version of the original point xp is expressed as Cwp."
gradient descent,ch08_gradient_descent_figure_8_4_p245.png,8,245,237,Figure 8.4,Figure 8.4 Figure associated with Example 8.2. See text for details.
linear autoencoder,ch08_linear_autoencoder_figure_8_5_p247.png,8,247,239,Figure 8.5,Figure 8.5 Figure associated with Example 8.3. See text for details.
dimension reduction,ch08_dimension_reduction_figure_8_6_p247.png,8,247,239,Figure 8.6,"Figure 8.6 A prototypical dataset with scaled versions of its first and second principal components shown as the longer and shorter red arrows, respectively. See text for further details."
principal component analysis,ch08_dimension_reduction_figure_8_6_p247.png,8,247,239,Figure 8.6,"A prototypical dataset with scaled versions of its first and second principal components shown as the longer and shorter red arrows, respectively. See text for further details."
dimension reduction,ch08_dimension_reduction_figure_8_7_p248.png,8,248,240,Figure 8.7,Figure 8.7 Figure associated with Example 8.4.
principal component analysis,ch08_dimension_reduction_figure_8_7_p248.png,8,248,240,Figure 8.7,Figure associated with Example 8.4.
dimension reduction,ch08_dimension_reduction_figure_8_8_p249.png,8,249,241,Figure 8.8,Figure 8.8 Figure associated with Example 8.5. (left panel) A toy classification dataset consisting of two linearly separable classes. The ideal one-dimensional subspace produced via PCA is shown in black. (right panel) Reducing the feature space dimension by projecting the data onto this subspace completely destroys the original separability of the data.
matrix factorization,ch08_matrix_factorization_figure_8_9_p251.png,8,251,243,Figure 8.9,"A prototypical movie rating matrix is very sparsely populated, with each user having rated only a very small number of films. In this diagram movies are listed along rows with users along columns. In order to properly recommend movies for users to watch we try to intelligently guess the missing values of this matrix, and then recommend movies that we predict users would rate highly (and therefore enjoy the most)."
cluster centroid,ch08_cluster_centroid_figure_8_10_p253.png,8,253,245,Figure 8.10,"Figure 8.10 (left) A two-dimensional toy dataset with P = 10 data points. (right) The data shown naturally clustered into K = 3 clusters. Points that are geometrically close to one another belong to the same cluster, and each cluster boundary is roughly marked using a uniquely colored solid curve. Each cluster center - also called a centroid - is marked by a star symbol colored to match its cluster boundary."
k-means clustering,ch08_cluster_centroid_figure_8_10_p253.png,8,253,245,Figure 8.10,"(left) A two-dimensional toy dataset with P = 10 data points. (right) The data shown naturally clustered into K = 3 clusters. Points that are geometrically close to one another belong to the same cluster, and each cluster boundary is roughly marked using a uniquely colored solid curve. Each cluster center - also called a centroid - is marked by a star symbol colored to match its cluster boundary."
centroid initialization,ch08_centroid_initialization_figure_8_11_p255.png,8,255,247,Figure 8.11,The first two iterations of the K-means algorithm illustrated using the dataset first shown in Figure 8.10. (top row) (left panel) A set of data points with random centroid initializations and assignments. (right panel) Centroid locations updated as average of points assigned to each cluster. (bottom row) (left panel) Assigning points based on updated centroid locations. (right panel) Updated location of centroids given by cluster averages.
sequential refinement,ch08_centroid_initialization_figure_8_11_p255.png,8,255,247,Figure 8.11,Figure 8.11 The first two iterations of the K-means algorithm illustrated using the dataset first shown in Figure 8.10. (top row) (left panel) A set of data points with random centroid initializations and assignments. (right panel) Centroid locations updated as average of points assigned to each cluster. (bottom row) (left panel) Assigning points based on updated centroid locations. (right panel) Updated location of centroids given by cluster averages.
scree plot,ch08_scree_plot_figure_8_13_p257.png,8,257,249,Figure 8.13,Figure 8.13 Figure associated with Example 8.7. (left panel) A dataset to cluster. (right panel) A skree plot. See text for further details.
clustering,ch09_clustering_figure_9_1_p270.png,9,270,262,Figure 9.1,"A prototypical comparison of feature selection, PCA, and clustering as dimension reduction schemes on an arbitrary data matrix, like those we have discussed in previous chapters for un/supervised learning, whose rows contain features and columns individual data points. The former two methods reduce the dimension of the feature space, or in other words the number of rows in a data matrix. However, the two methods work diﬀerently: while feature selection literally selects rows from the original matrix to keep, PCA uses the geometry of the feature space to produce a new data matrix based on a lower feature dimensional version of the data. K-means, on the other hand, reduces the dimension of the data/number of data points, or equivalently the number of columns in the input data matrix. It does"
dimension reduction,ch09_clustering_figure_9_1_p270.png,9,270,262,Figure 9.1,"A prototypical comparison of feature selection, PCA, and clustering as dimension reduction schemes on an arbitrary data matrix, like those we have discussed in previous chapters for un/supervised learning, whose rows contain features and columns individual data points. The former two methods reduce the dimension of the feature space, or in other words the number of rows in a data matrix. However, the two methods work differently: while feature selection literally selects rows from the original matrix to keep, PCA uses the geometry of the feature space to produce a new data matrix based on a lower feature dimensional version of the data. K-means, on the other hand, reduces the dimension of the data/number of data points, or equivalently the number of columns in the input data matrix. It doe"
feature selection,ch09_clustering_figure_9_1_p270.png,9,270,262,Figure 9.1,"A prototypical comparison of feature selection, PCA, and clustering as dimension reduction schemes on an arbitrary data matrix, like those we have discussed in previous chapters for un/supervised learning, whose rows contain features and columns individual data points. The former two methods reduce the dimension of the feature space, or in other words the number of rows in a data matrix. However, the two methods work differently: while feature selection literally selects rows from the original matrix to keep, PCA uses the geometry of the feature space to produce a new data matrix based on a lower feature dimensional version of the data. K-means, on the other hand, reduces the dimension of the data/number of data points, or equivalently the number of columns in the input data matrix. It doe"
principal component analysis,ch09_clustering_figure_9_1_p270.png,9,270,262,Figure 9.1,"A prototypical comparison of feature selection, PCA, and clustering as dimension reduction schemes on an arbitrary data matrix, like those we have discussed in previous chapters for un/supervised learning, whose rows contain features and columns individual data points. The former two methods reduce the dimension of the feature space, or in other words the number of rows in a data matrix. However, the two methods work diﬀerently: while feature selection literally selects rows from the original matrix to keep, PCA uses the geometry of the feature space to produce a new data matrix based on a lower feature dimensional version of the data. K-means, on the other hand, reduces the dimension of the data/number of data points, or equivalently the number of columns in the input data matrix. It does"
one-hot encoded labels,ch09_one_hot_encoded_labels_figure_9_2_p272.png,9,272,264,Figure 9.2,Blood type converted into numerical features (top panels) and histogram-based features (bottom panel). See text for further details.
inner product similarity,ch09_inner_product_similarity_figure_9_3_p273.png,9,273,265,Figure 9.3,Bag of Words histogram features for the two example documents shown in Equation (9.1).
newton's method,ch09_newton_s_method_figure_9_5_p275.png,9,275,267,Figure 9.5,Figure 9.5 Figure associated with Example 9.2. See text for details.
softmax cost function,ch09_newton_s_method_figure_9_5_p275.png,9,275,267,Figure 9.5,Figure 9.5 Figure associated with Example 9.2. See text for details.
discriminative features,ch09_discriminative_features_figure_9_7_p277.png,9,277,269,Figure 9.7,"Figure 9.7 (left column) Three images of simple shapes. While the triangles in the top two images are visually similar, this similarity is not reflected by comparing their raw pixel values. (middle column) Edge detected versions of the original images, here using 8 edge orientations, retain the distinguishing structural content while significantly reducing the amount of information in each image. (right column) By taking normalized histograms of the edge content we have a feature representation that captures the similarity of the two triangles quite well while distinguishing both from the square. See text for further details."
edge histogram features,ch09_discriminative_features_figure_9_7_p277.png,9,277,269,Figure 9.7,"(left column) Three images of simple shapes. While the triangles in the top two images are visually similar, this similarity is not reflected by comparing their raw pixel values. (middle column) Edge detected versions of the original images, here using 8 edge orientations, retain the distinguishing structural content while significantly reducing the amount of information in each image. (right column) By taking normalized histograms of the edge content we have a feature representation that captures the similarity of the two triangles quite well while distinguishing both from the square. See text for further details."
