concept_id,concept,aliases,slide_snippets,embedding_source,embedding_token,embedding_model
11,knowledge graph,knowledge graph,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
12,semantic role labeling,semantic role labeling,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
13,abstract meaning representation,abstract meaning representation,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
14,coreference and coreference resolution,coreference and coreference resolution,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
15,machine reading comprehension,machine reading comprehension,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
16,context free grammar,context free grammar,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
17,context sensitive grammar,context sensitive grammar,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
18,domain adaptation,domain adaptation,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
19,transfer learning,transfer learning,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
20,capsule networks,capsule networks,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
21,reinforcement learning,reinforcement learning,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
22,q learning,q learning,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
23,dqn,dqn,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
24,backpropagation,backpropagation,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning"", ""phonetics . speech recognition . crowdsourcing . matrix factorization . spectral methods . genetic algorithms . ensemble learning . expert systems . bayesian network . text mining . bagging . maximum likelihood estimation . graphical models . markov chain monte carlo . k means . earley parsing . propositional logic . gradient descent . search engine indexing . tokenization . textual entailment . constraint satisfaction . beam search . recommendation system . matrix multiplication . differential ""]",bert,,sentence-transformers/all-mpnet-base-v2
25,word embedding,word embedding,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
26,logistic regression,logistic regression,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
27,semantic parsing,semantic parsing,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
28,stemming,stemming,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
29,sentiment analysis,sentiment analysis,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
30,penn treebank,penn treebank,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
31,dependency parsing,dependency parsing,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
32,tree adjoining grammar,tree adjoining grammar,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
33,combinatory categorial grammar,combinatory categorial grammar,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
34,relation extraction,relation extraction,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
35,event detection,event detection,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
36,language modeling,language modeling,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
37,named entity recognition,named entity recognition,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
38,word segmentation,word segmentation,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
39,sentence boundary recognition,sentence boundary recognition,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
40,optical character recognition,optical character recognition,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
41,automated essay scoring,automated essay scoring,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
42,latent dirichlet allocation,latent dirichlet allocation,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
43,latent semantic indexing,latent semantic indexing,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
44,language identification,language identification,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
45,bayes theorem,bayes theorem,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
46,hidden markov models,hidden markov models,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
47,conditional random fields,conditional random fields,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
48,deep belief networks,deep belief networks,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
49,word sense disambiguation,word sense disambiguation,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
50,part of speech tagging,part of speech tagging,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
51,question answering,question answering,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
52,automatic summarization,automatic summarization,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
53,supertagging,supertagging,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
54,recursive neural network,recursive neural network,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
55,multi-document summarization,multi-document summarization,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
56,variational bayes,variational bayes,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
57,discourse model,discourse model,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
58,morphological disambiguation,morphological disambiguation,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
59,weakly-supervised learning,weakly-supervised learning,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
60,one-shot learning,one-shot learning,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
61,neural turing machine,neural turing machine,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
62,bootstrapping,bootstrapping,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
63,distributional semantics,distributional semantics,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
64,shallow parsing,shallow parsing,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
65,a* search,a* search,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
66,transliteration,transliteration,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
67,lexicography,lexicography,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
68,chat bots,chat bots,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
69,dialog systems,dialog systems,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
70,multi-task learning,multi-task learning,"[""part of speech tagging . question answering . automatic summarization . supertagging . recursive neural network . multi-document summarization . variational bayes . discourse model . morphological disambiguation . weakly-supervised learning . one-shot learning . neural turing machine . bootstrapping . distributional semantics . shallow parsing . a* search . transliteration . lexicography . chat bots . dialog systems . multi-task learning . multilingual word . evaluation metrics . linear regressi""]",bert,,sentence-transformers/all-mpnet-base-v2
